Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BM,Baffle,Basin_35,DIN,0.0008838831017359857,t/yr
BM,Burnett,Basin_35,DIN,0.005246347876399225,t/yr
BM,Burrum,Basin_35,DIN,0.001538969525394935,t/yr
BM,Kolan,Basin_35,DIN,0.002227133976574021,t/yr
BM,Mary,Basin_35,DIN,0.0070092047078649505,t/yr
BU,Black,Basin_35,DIN,0.0007606259335515552,t/yr
BU,Burdekin,Basin_35,DIN,0.01520937586757403,t/yr
BU,Don,Basin_35,DIN,0.0013183354412452082,t/yr
BU,Haughton,Basin_35,DIN,0.010232319050075869,t/yr
BU,Ross,Basin_35,DIN,0.0018954585092709184,t/yr
CY,Endeavour,Basin_35,DIN,0.0004463697881155698,t/yr
CY,Jacky Jacky,Basin_35,DIN,7.745662823789392e-05,t/yr
CY,Jeannie,Basin_35,DIN,5.874038069790686e-05,t/yr
CY,Lockhart,Basin_35,DIN,2.2800214848513653e-05,t/yr
CY,Normanby,Basin_35,DIN,0.0006324664186199471,t/yr
CY,Olive Pascoe,Basin_35,DIN,0.0007249871212277232,t/yr
CY,Stewart,Basin_35,DIN,1.053042199471553e-05,t/yr
FI,Boyne,Basin_35,DIN,0.00022836766619439527,t/yr
FI,Calliope,Basin_35,DIN,0.00027785786881084424,t/yr
FI,Fitzroy,Basin_35,DIN,0.005884026519216396,t/yr
FI,Shoalwater,Basin_35,DIN,5.487859492929203e-06,t/yr
FI,Styx,Basin_35,DIN,0.00036995718478209243,t/yr
FI,Water Park,Basin_35,DIN,0.0006843720704849565,t/yr
MW,O-Connell,Basin_35,DIN,0.0025500462523689875,t/yr
MW,Pioneer,Basin_35,DIN,0.005632927223521277,t/yr
MW,Plane,Basin_35,DIN,0.004801658295198175,t/yr
MW,Proserpine,Basin_35,DIN,0.003406274245588027,t/yr
WT,Barron,Basin_35,DIN,0.0032603663301849447,t/yr
WT,Daintree,Basin_35,DIN,0.002113761419160799,t/yr
WT,Herbert,Basin_35,DIN,0.031451917838556366,t/yr
WT,Johnstone,Basin_35,DIN,0.02403851204453408,t/yr
WT,Mossman,Basin_35,DIN,0.0015108316878957252,t/yr
WT,Mulgrave-Russell,Basin_35,DIN,0.013383740705742001,t/yr
WT,Murray,Basin_35,DIN,0.007591344401304586,t/yr
WT,Tully,Basin_35,DIN,0.01580746180959334,t/yr
BM,Baffle,Basin_35,DIP,6.184700460975231e-05,t/yr
BM,Burnett,Basin_35,DIP,0.0006229574423693184,t/yr
BM,Burrum,Basin_35,DIP,0.00021840857751466824,t/yr
BM,Kolan,Basin_35,DIP,0.00012267127368139258,t/yr
BM,Mary,Basin_35,DIP,0.0007838899836833098,t/yr
BU,Black,Basin_35,DIP,7.354937955532949e-05,t/yr
BU,Burdekin,Basin_35,DIP,0.0017541748663789044,t/yr
BU,Don,Basin_35,DIP,0.0002424574840723853,t/yr
BU,Haughton,Basin_35,DIP,0.0010131106026603513,t/yr
BU,Ross,Basin_35,DIP,0.0003080187627179208,t/yr
CY,Endeavour,Basin_35,DIP,0.0001091896546014052,t/yr
CY,Jacky Jacky,Basin_35,DIP,1.3307556118329773e-05,t/yr
CY,Jeannie,Basin_35,DIP,2.0915529467322682e-05,t/yr
CY,Lockhart,Basin_35,DIP,4.109981520873207e-06,t/yr
CY,Normanby,Basin_35,DIP,0.0003368854604383987,t/yr
CY,Olive Pascoe,Basin_35,DIP,4.064887361793575e-05,t/yr
CY,Stewart,Basin_35,DIP,1.9023372962916192e-06,t/yr
FI,Boyne,Basin_35,DIP,0.0003386990897495096,t/yr
FI,Calliope,Basin_35,DIP,0.00015617227440468338,t/yr
FI,Fitzroy,Basin_35,DIP,0.01109950146901825,t/yr
FI,Shoalwater,Basin_35,DIP,8.269631665309991e-07,t/yr
FI,Styx,Basin_35,DIP,0.00011540536926331578,t/yr
FI,Water Park,Basin_35,DIP,0.00017043535639283175,t/yr
MW,O-Connell,Basin_35,DIP,0.00042158187618096424,t/yr
MW,Pioneer,Basin_35,DIP,0.0008818309927241144,t/yr
MW,Plane,Basin_35,DIP,0.0036121472469907547,t/yr
MW,Proserpine,Basin_35,DIP,0.0007180712758945144,t/yr
WT,Barron,Basin_35,DIP,0.0003284876653991421,t/yr
WT,Daintree,Basin_35,DIP,0.00018788118884977353,t/yr
WT,Herbert,Basin_35,DIP,0.0015068152187057771,t/yr
WT,Johnstone,Basin_35,DIP,0.0019966087905221785,t/yr
WT,Mossman,Basin_35,DIP,0.00011354589407918518,t/yr
WT,Mulgrave-Russell,Basin_35,DIP,0.000719685954614115,t/yr
WT,Murray,Basin_35,DIP,0.0008555245494242659,t/yr
WT,Tully,Basin_35,DIP,0.000580765293087859,t/yr
BM,Baffle,Basin_35,DON,0.005418672541060797,t/yr
BM,Burnett,Basin_35,DON,0.007973935169773341,t/yr
BM,Burrum,Basin_35,DON,0.0023977039075135293,t/yr
BM,Kolan,Basin_35,DON,0.003212166651549216,t/yr
BM,Mary,Basin_35,DON,0.013254791980500348,t/yr
BU,Black,Basin_35,DON,0.0005310068186141544,t/yr
BU,Burdekin,Basin_35,DON,0.0018842312277217086,t/yr
BU,Don,Basin_35,DON,0.0008149677254633492,t/yr
BU,Haughton,Basin_35,DON,0.0034234992506836097,t/yr
BU,Ross,Basin_35,DON,0.0010184487653577092,t/yr
CY,Endeavour,Basin_35,DON,0.0020542937109454653,t/yr
CY,Jacky Jacky,Basin_35,DON,0.0009262692400332582,t/yr
CY,Jeannie,Basin_35,DON,0.0007717741325396087,t/yr
CY,Lockhart,Basin_35,DON,0.00018914984944582995,t/yr
CY,Normanby,Basin_35,DON,0.014048959752291717,t/yr
CY,Olive Pascoe,Basin_35,DON,0.0028426852095182766,t/yr
CY,Stewart,Basin_35,DON,0.00015389447487209796,t/yr
FI,Boyne,Basin_35,DON,9.792191629793099e-05,t/yr
FI,Calliope,Basin_35,DON,8.315715457344671e-05,t/yr
FI,Fitzroy,Basin_35,DON,0.002472005809405914,t/yr
FI,Shoalwater,Basin_35,DON,3.949809562456607e-06,t/yr
FI,Styx,Basin_35,DON,8.650729842116552e-05,t/yr
FI,Water Park,Basin_35,DON,0.0002593108559583991,t/yr
MW,O-Connell,Basin_35,DON,0.0040939405309443596,t/yr
MW,Pioneer,Basin_35,DON,0.004196565047147003,t/yr
MW,Plane,Basin_35,DON,0.007354488303996402,t/yr
MW,Proserpine,Basin_35,DON,0.0032970618360227823,t/yr
WT,Barron,Basin_35,DON,0.0037114860153751057,t/yr
WT,Daintree,Basin_35,DON,0.0029279933196578634,t/yr
