Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
BASE,BM,Baffle,DIN,Basin_35,t/yr,91.79724876442643
BASE,BM,Baffle,DIP,Basin_35,t/yr,23.706782125470735
BASE,BM,Baffle,DON,Basin_35,t/yr,353.4329385952776
BASE,BM,Baffle,DOP,Basin_35,t/yr,13.8390506408841
BASE,BM,Baffle,FS,Basin_35,kt/yr,34.32745353775845
BASE,BM,Baffle,PN,Basin_35,t/yr,125.72796995068683
BASE,BM,Baffle,PP,Basin_35,t/yr,66.90745873071253
BASE,BM,Burnett,DIN,Basin_35,t/yr,279.7238017718609
BASE,BM,Burnett,DIP,Basin_35,t/yr,59.16633074938054
BASE,BM,Burnett,DON,Basin_35,t/yr,625.8189550558383
BASE,BM,Burnett,DOP,Basin_35,t/yr,29.661182451215232
BASE,BM,Burnett,FS,Basin_35,kt/yr,1037.9432951302383
BASE,BM,Burnett,PN,Basin_35,t/yr,3248.318023920112
BASE,BM,Burnett,PP,Basin_35,t/yr,985.8534135241414
BASE,BM,Burrum,DIN,Basin_35,t/yr,82.00176660282196
BASE,BM,Burrum,DIP,Basin_35,t/yr,15.470850987574803
BASE,BM,Burrum,DON,Basin_35,t/yr,171.3515663126087
BASE,BM,Burrum,DOP,Basin_35,t/yr,7.731391476828566
BASE,BM,Burrum,FS,Basin_35,kt/yr,18.12611840899232
BASE,BM,Burrum,PN,Basin_35,t/yr,61.239958653912275
BASE,BM,Burrum,PP,Basin_35,t/yr,20.571409821711
BASE,BM,Kolan,DIN,Basin_35,t/yr,100.08017250152331
BASE,BM,Kolan,DIP,Basin_35,t/yr,14.9476634083951
BASE,BM,Kolan,DON,Basin_35,t/yr,199.83636981354906
BASE,BM,Kolan,DOP,Basin_35,t/yr,8.428545524058467
BASE,BM,Kolan,FS,Basin_35,kt/yr,62.727689940328524
BASE,BM,Kolan,PN,Basin_35,t/yr,295.3428591925288
BASE,BM,Kolan,PP,Basin_35,t/yr,95.3309550779719
BASE,BM,Mary,DIN,Basin_35,t/yr,402.05917796733263
BASE,BM,Mary,DIP,Basin_35,t/yr,48.2007309129232
BASE,BM,Mary,DON,Basin_35,t/yr,959.5407615526874
BASE,BM,Mary,DOP,Basin_35,t/yr,37.11204206659227
BASE,BM,Mary,FS,Basin_35,kt/yr,446.30158337689454
BASE,BM,Mary,PN,Basin_35,t/yr,1080.9486860167244
BASE,BM,Mary,PP,Basin_35,t/yr,418.1456882662663
BASE,BU,Black,DIN,Basin_35,t/yr,57.511748301811096
BASE,BU,Black,DIP,Basin_35,t/yr,22.646398124729675
BASE,BU,Black,DON,Basin_35,t/yr,179.48231454071305
BASE,BU,Black,DOP,Basin_35,t/yr,8.046917175264912
BASE,BU,Black,FS,Basin_35,kt/yr,37.71111814255824
BASE,BU,Black,PN,Basin_35,t/yr,69.08591721584723
BASE,BU,Black,PP,Basin_35,t/yr,26.670248657745017
BASE,BU,Burdekin,DIN,Basin_35,t/yr,1355.9412789270832
BASE,BU,Burdekin,DIP,Basin_35,t/yr,308.7754826670499
BASE,BU,Burdekin,DON,Basin_35,t/yr,2629.501869020107
BASE,BU,Burdekin,DOP,Basin_35,t/yr,193.41450096497755
BASE,BU,Burdekin,FS,Basin_35,kt/yr,5830.528965161912
BASE,BU,Burdekin,PN,Basin_35,t/yr,6613.872857178928
BASE,BU,Burdekin,PP,Basin_35,t/yr,4504.262853453654
BASE,BU,Don,DIN,Basin_35,t/yr,101.92108753653108
BASE,BU,Don,DIP,Basin_35,t/yr,38.5312103214705
BASE,BU,Don,DON,Basin_35,t/yr,178.63173160802918
