Region,Basin,BasinScale,Constituent,PercentReduction,Units
BM,Baffle,Basin_35,DIN,4.427813339659975e-10,%
BM,Burnett,Basin_35,DIN,5.411391176930412,%
BM,Burrum,Basin_35,DIN,0.7867146716186576,%
BM,Kolan,Basin_35,DIN,4.063867661340559,%
BM,Mary,Basin_35,DIN,1.316684045170241e-09,%
BU,Black,Basin_35,DIN,0.0,%
BU,Burdekin,Basin_35,DIN,9.699002313753539,%
BU,Don,Basin_35,DIN,-3.8989636331544654e-08,%
BU,Haughton,Basin_35,DIN,11.60743207314867,%
BU,Ross,Basin_35,DIN,0.0,%
CY,Endeavour,Basin_35,DIN,0.0,%
CY,Jacky Jacky,Basin_35,DIN,0.0,%
CY,Jeannie,Basin_35,DIN,0.0,%
CY,Lockhart,Basin_35,DIN,0.0,%
CY,Normanby,Basin_35,DIN,0.0,%
CY,Olive Pascoe,Basin_35,DIN,0.0,%
CY,Stewart,Basin_35,DIN,0.0,%
FI,Boyne,Basin_35,DIN,0.0,%
FI,Calliope,Basin_35,DIN,0.0,%
FI,Fitzroy,Basin_35,DIN,0.0,%
FI,Shoalwater,Basin_35,DIN,0.0,%
FI,Styx,Basin_35,DIN,0.0,%
FI,Water Park,Basin_35,DIN,0.0,%
MW,O-Connell,Basin_35,DIN,1.1535707942611866,%
MW,Pioneer,Basin_35,DIN,0.197527656407371,%
MW,Plane,Basin_35,DIN,1.4256531692428709,%
MW,Proserpine,Basin_35,DIN,-0.8154262003228437,%
WT,Barron,Basin_35,DIN,2.233892609206737,%
WT,Daintree,Basin_35,DIN,0.0,%
WT,Herbert,Basin_35,DIN,1.2081665832337152,%
WT,Johnstone,Basin_35,DIN,6.88456523843416,%
WT,Mossman,Basin_35,DIN,0.0,%
WT,Mulgrave-Russell,Basin_35,DIN,3.5021444086010307,%
WT,Murray,Basin_35,DIN,3.7736427684063822,%
WT,Tully,Basin_35,DIN,2.1089507742949607,%
BM,Baffle,Basin_35,DIP,3.329813155553573e-08,%
BM,Burnett,Basin_35,DIP,-3.1289208297786053e-09,%
BM,Burrum,Basin_35,DIP,4.731587412172722e-09,%
BM,Kolan,Basin_35,DIP,3.004150677192125e-09,%
BM,Mary,Basin_35,DIP,3.6811400183918956e-09,%
BU,Black,Basin_35,DIP,0.0,%
BU,Burdekin,Basin_35,DIP,-0.023961536571268233,%
BU,Don,Basin_35,DIP,0.0,%
BU,Haughton,Basin_35,DIP,0.0,%
BU,Ross,Basin_35,DIP,0.0,%
CY,Endeavour,Basin_35,DIP,0.0,%
CY,Jacky Jacky,Basin_35,DIP,0.0,%
CY,Jeannie,Basin_35,DIP,0.0,%
CY,Lockhart,Basin_35,DIP,0.0,%
CY,Normanby,Basin_35,DIP,0.0,%
CY,Olive Pascoe,Basin_35,DIP,0.0,%
CY,Stewart,Basin_35,DIP,0.0,%
FI,Boyne,Basin_35,DIP,0.0,%
FI,Calliope,Basin_35,DIP,0.0,%
FI,Fitzroy,Basin_35,DIP,5.738769647919705,%
FI,Shoalwater,Basin_35,DIP,0.0,%
FI,Styx,Basin_35,DIP,0.0,%
FI,Water Park,Basin_35,DIP,0.0,%
MW,O-Connell,Basin_35,DIP,0.0,%
MW,Pioneer,Basin_35,DIP,0.0,%
MW,Plane,Basin_35,DIP,0.0,%
MW,Proserpine,Basin_35,DIP,0.0,%
WT,Barron,Basin_35,DIP,0.0,%
WT,Daintree,Basin_35,DIP,0.0,%
WT,Herbert,Basin_35,DIP,0.0,%
WT,Johnstone,Basin_35,DIP,0.26582518254560306,%
WT,Mossman,Basin_35,DIP,0.0,%
WT,Mulgrave-Russell,Basin_35,DIP,0.0,%
WT,Murray,Basin_35,DIP,0.0,%
WT,Tully,Basin_35,DIP,0.012257376851300107,%
BM,Baffle,Basin_35,DON,6.640700032498315e-09,%
BM,Burnett,Basin_35,DON,3.737220228326555e-09,%
BM,Burrum,Basin_35,DON,7.031349787630309e-09,%
BM,Kolan,Basin_35,DON,1.8563108786997399e-09,%
BM,Mary,Basin_35,DON,3.2562719961586495e-09,%
BU,Black,Basin_35,DON,0.0,%
BU,Burdekin,Basin_35,DON,0.0,%
BU,Don,Basin_35,DON,0.0,%
BU,Haughton,Basin_35,DON,0.0,%
BU,Ross,Basin_35,DON,0.0,%
CY,Endeavour,Basin_35,DON,0.0,%
CY,Jacky Jacky,Basin_35,DON,0.0,%
CY,Jeannie,Basin_35,DON,0.0,%
CY,Lockhart,Basin_35,DON,0.0,%
CY,Normanby,Basin_35,DON,0.0,%
CY,Olive Pascoe,Basin_35,DON,0.0,%
CY,Stewart,Basin_35,DON,0.0,%
FI,Boyne,Basin_35,DON,0.0,%
FI,Calliope,Basin_35,DON,0.0,%
FI,Fitzroy,Basin_35,DON,0.0,%
FI,Shoalwater,Basin_35,DON,0.0,%
FI,Styx,Basin_35,DON,0.0,%
FI,Water Park,Basin_35,DON,0.0,%
