Region,Basin,BasinScale,Constituent,Reduction,Units
BM,Baffle,Basin_35,DIN,3.913669388566632e-15,t/yr
BM,Burnett,Basin_35,DIN,0.0002839004060945437,t/yr
BM,Burrum,Basin_35,DIN,1.2107299048021976e-05,t/yr
BM,Kolan,Basin_35,DIN,9.050777744871965e-05,t/yr
BM,Mary,Basin_35,DIN,9.22890800817792e-14,t/yr
BU,Black,Basin_35,DIN,0.0,t/yr
BU,Burdekin,Basin_35,DIN,0.0014751577173034776,t/yr
BU,Don,Basin_35,DIN,-5.140141941713712e-13,t/yr
BU,Haughton,Basin_35,DIN,0.0011877094832454078,t/yr
BU,Ross,Basin_35,DIN,0.0,t/yr
CY,Endeavour,Basin_35,DIN,0.0,t/yr
CY,Jacky Jacky,Basin_35,DIN,0.0,t/yr
CY,Jeannie,Basin_35,DIN,0.0,t/yr
CY,Lockhart,Basin_35,DIN,0.0,t/yr
CY,Normanby,Basin_35,DIN,0.0,t/yr
CY,Olive Pascoe,Basin_35,DIN,0.0,t/yr
CY,Stewart,Basin_35,DIN,0.0,t/yr
FI,Boyne,Basin_35,DIN,0.0,t/yr
FI,Calliope,Basin_35,DIN,0.0,t/yr
FI,Fitzroy,Basin_35,DIN,0.0,t/yr
FI,Shoalwater,Basin_35,DIN,0.0,t/yr
FI,Styx,Basin_35,DIN,0.0,t/yr
FI,Water Park,Basin_35,DIN,0.0,t/yr
MW,O-Connell,Basin_35,DIN,2.9416588807480557e-05,t/yr
MW,Pioneer,Basin_35,DIN,1.1126589131754372e-05,t/yr
MW,Plane,Basin_35,DIN,6.8454993661706e-05,t/yr
MW,Proserpine,Basin_35,DIN,-2.7775652653374057e-05,t/yr
WT,Barron,Basin_35,DIN,7.28330824830664e-05,t/yr
WT,Daintree,Basin_35,DIN,0.0,t/yr
WT,Herbert,Basin_35,DIN,0.00037999156111156177,t/yr
WT,Johnstone,Basin_35,DIN,0.001654947044054802,t/yr
WT,Mossman,Basin_35,DIN,0.0,t/yr
WT,Mulgrave-Russell,Basin_35,DIN,0.0004687179267878037,t/yr
WT,Murray,Basin_35,DIN,0.00028647021902465327,t/yr
WT,Tully,Basin_35,DIN,0.00033337158822979897,t/yr
BM,Baffle,Basin_35,DIP,2.059389695811357e-14,t/yr
BM,Burnett,Basin_35,DIP,-1.9491845174949656e-14,t/yr
BM,Burrum,Basin_35,DIP,1.0334192760789544e-14,t/yr
BM,Kolan,Basin_35,DIP,3.685229899019759e-15,t/yr
BM,Mary,Basin_35,DIP,2.8856087889532015e-14,t/yr
BU,Black,Basin_35,DIP,0.0,t/yr
BU,Burdekin,Basin_35,DIP,-4.2032725213137686e-07,t/yr
