Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BM,Baffle,Manag_Unit_48,DIN,0.0008638425679312249,t/yr
BM,Burnett,Manag_Unit_48,DIN,0.004273739122436531,t/yr
BM,Burrum,Manag_Unit_48,DIN,0.0014263249719869712,t/yr
BM,Kolan,Manag_Unit_48,DIN,0.002026328169134162,t/yr
BM,Mary,Manag_Unit_48,DIN,0.006774763455112247,t/yr
BU,Belyando,Manag_Unit_48,DIN,1.1542493927544583e-05,t/yr
BU,Black,Manag_Unit_48,DIN,0.0007606229599751691,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIN,-0.00018167479375325304,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIN,0.013840582942630767,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIN,-2.4700400080822625e-05,t/yr
BU,Don,Manag_Unit_48,DIN,0.0013183173148719608,t/yr
BU,East Burdekin,Manag_Unit_48,DIN,0.0005750884211663161,t/yr
BU,Haughton,Manag_Unit_48,DIN,0.010229949233374688,t/yr
BU,Ross,Manag_Unit_48,DIN,0.0018839770275903534,t/yr
BU,Suttor,Manag_Unit_48,DIN,0.00022193511242818456,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIN,-0.0002516125631404937,t/yr
CY,Endeavour,Manag_Unit_48,DIN,0.0004463493163923398,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIN,7.744879846766632e-05,t/yr
CY,Jeannie,Manag_Unit_48,DIN,5.873704977320848e-05,t/yr
CY,Lockhart,Manag_Unit_48,DIN,2.2798439456358938e-05,t/yr
CY,Normanby,Manag_Unit_48,DIN,0.0006323668669688117,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0007249011362438698,t/yr
CY,Stewart,Manag_Unit_48,DIN,1.0530334191416083e-05,t/yr
FI,Boyne,Manag_Unit_48,DIN,0.0002112916229020315,t/yr
FI,Calliope,Manag_Unit_48,DIN,0.0002778577228881175,t/yr
FI,Comet,Manag_Unit_48,DIN,0.0008997952894689786,t/yr
FI,Dawson,Manag_Unit_48,DIN,0.001087006509435101,t/yr
FI,Fitzroy,Manag_Unit_48,DIN,0.0019660530141874803,t/yr
FI,Isaac,Manag_Unit_48,DIN,0.000723490916967908,t/yr
FI,Mackenzie,Manag_Unit_48,DIN,0.00026951924675599104,t/yr
FI,Nogoa,Manag_Unit_48,DIN,0.00022831707843512847,t/yr
FI,Shoalwater,Manag_Unit_48,DIN,5.4877177039011596e-06,t/yr
FI,Styx,Manag_Unit_48,DIN,0.0003699565536277202,t/yr
FI,Theresa,Manag_Unit_48,DIN,0.0003547920835169327,t/yr
FI,Water Park,Manag_Unit_48,DIN,0.0006842916420117005,t/yr
MW,O-Connell,Manag_Unit_48,DIN,0.0025447450976785477,t/yr
MW,Pioneer,Manag_Unit_48,DIN,0.005269170933684241,t/yr
MW,Plane,Manag_Unit_48,DIN,0.004801493046390372,t/yr
MW,Proserpine,Manag_Unit_48,DIN,0.0033617420854061297,t/yr
WT,Barron,Manag_Unit_48,DIN,0.002750105329202691,t/yr
WT,Daintree,Manag_Unit_48,DIN,0.002113765617335469,t/yr
WT,Johnstone,Manag_Unit_48,DIN,0.02387439207906032,t/yr
WT,Lower Herbert,Manag_Unit_48,DIN,0.028339392174483946,t/yr
WT,Mossman,Manag_Unit_48,DIN,0.0014870245535205764,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIN,0.013349488414714802,t/yr
WT,Murray,Manag_Unit_48,DIN,0.007563368535410877,t/yr
WT,Tully,Manag_Unit_48,DIN,0.01574764890074404,t/yr
WT,Upper Herbert,Manag_Unit_48,DIN,0.00303838943452809,t/yr
BM,Baffle,Manag_Unit_48,DIP,6.134250531132715e-05,t/yr
BM,Burnett,Manag_Unit_48,DIP,0.00043898469956920726,t/yr
BM,Burrum,Manag_Unit_48,DIP,0.00021474534465699413,t/yr
BM,Kolan,Manag_Unit_48,DIP,0.00011990169378946617,t/yr
BM,Mary,Manag_Unit_48,DIP,0.0007507811784832405,t/yr
BU,Belyando,Manag_Unit_48,DIP,1.0005256940212348e-05,t/yr
BU,Black,Manag_Unit_48,DIP,7.354911915193724e-05,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIP,1.3257293661486357e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIP,0.0009916098957165763,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIP,0.00010999871356496491,t/yr
BU,Don,Manag_Unit_48,DIP,0.0002424558934380464,t/yr
BU,East Burdekin,Manag_Unit_48,DIP,9.425428515524471e-05,t/yr
BU,Haughton,Manag_Unit_48,DIP,0.0010130992569233896,t/yr
BU,Ross,Manag_Unit_48,DIP,0.00030621653639432484,t/yr
BU,Suttor,Manag_Unit_48,DIP,0.00019271382839875965,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIP,0.0002584902213107469,t/yr
CY,Endeavour,Manag_Unit_48,DIP,0.00010918565776259582,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIP,1.3306380239444089e-05,t/yr
CY,Jeannie,Manag_Unit_48,DIP,2.0914859865649288e-05,t/yr
CY,Lockhart,Manag_Unit_48,DIP,4.109710292947444e-06,t/yr
CY,Normanby,Manag_Unit_48,DIP,0.0003368686378151684,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIP,4.064171543361222e-05,t/yr
CY,Stewart,Manag_Unit_48,DIP,1.9023241088494734e-06,t/yr
FI,Boyne,Manag_Unit_48,DIP,0.00022893468074662669,t/yr
FI,Calliope,Manag_Unit_48,DIP,0.00015617221734783856,t/yr
FI,Comet,Manag_Unit_48,DIP,0.001278138427651013,t/yr
FI,Dawson,Manag_Unit_48,DIP,0.004734083607119656,t/yr
FI,Fitzroy,Manag_Unit_48,DIP,0.002579066849857267,t/yr
FI,Isaac,Manag_Unit_48,DIP,0.0004175255683788933,t/yr
FI,Mackenzie,Manag_Unit_48,DIP,0.00030097181356177706,t/yr
FI,Nogoa,Manag_Unit_48,DIP,0.0004587153774429576,t/yr
FI,Shoalwater,Manag_Unit_48,DIP,8.269199628256748e-07,t/yr
FI,Styx,Manag_Unit_48,DIP,0.00011540527652877752,t/yr
FI,Theresa,Manag_Unit_48,DIP,0.0002857258045759687,t/yr
