Region,Basin,BasinScale,Constituent,Anthropogenic,Units
BM,Baffle,Manag_Unit_48,DIN,0.0008838831017359857,t/yr
BM,Burnett,Manag_Unit_48,DIN,0.005246347876399225,t/yr
BM,Burrum,Manag_Unit_48,DIN,0.001538969525394935,t/yr
BM,Kolan,Manag_Unit_48,DIN,0.002227133976574021,t/yr
BM,Mary,Manag_Unit_48,DIN,0.0070092047078649505,t/yr
BU,Belyando,Manag_Unit_48,DIN,4.418870268081558e-05,t/yr
BU,Black,Manag_Unit_48,DIN,0.0007606259335515552,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIN,4.5667556757539765e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIN,0.013993553870546184,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIN,6.44508066708364e-06,t/yr
BU,Don,Manag_Unit_48,DIN,0.0013183354412452082,t/yr
BU,East Burdekin,Manag_Unit_48,DIN,0.0006571316197081982,t/yr
BU,Haughton,Manag_Unit_48,DIN,0.010232319050075869,t/yr
BU,Ross,Manag_Unit_48,DIN,0.0018954585092709184,t/yr
BU,Suttor,Manag_Unit_48,DIN,0.0002899687661847423,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIN,0.0001724202710294719,t/yr
CY,Endeavour,Manag_Unit_48,DIN,0.0004463697881155698,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIN,7.745662823789392e-05,t/yr
CY,Jeannie,Manag_Unit_48,DIN,5.874038069790686e-05,t/yr
CY,Lockhart,Manag_Unit_48,DIN,2.2800214848513653e-05,t/yr
CY,Normanby,Manag_Unit_48,DIN,0.0006324664186199471,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0007249871212277232,t/yr
CY,Stewart,Manag_Unit_48,DIN,1.053042199471553e-05,t/yr
FI,Boyne,Manag_Unit_48,DIN,0.00022836766619439527,t/yr
FI,Calliope,Manag_Unit_48,DIN,0.00027785786881084424,t/yr
FI,Comet,Manag_Unit_48,DIN,0.001004876141530076,t/yr
FI,Dawson,Manag_Unit_48,DIN,0.0011456011135462423,t/yr
FI,Fitzroy,Manag_Unit_48,DIN,0.001968799456878746,t/yr
FI,Isaac,Manag_Unit_48,DIN,0.0007307190496926031,t/yr
FI,Mackenzie,Manag_Unit_48,DIN,0.0002728350664963173,t/yr
FI,Nogoa,Manag_Unit_48,DIN,0.0003347981902233476,t/yr
FI,Shoalwater,Manag_Unit_48,DIN,5.487859492929203e-06,t/yr
FI,Styx,Manag_Unit_48,DIN,0.00036995718478209243,t/yr
FI,Theresa,Manag_Unit_48,DIN,0.0004263975008490635,t/yr
FI,Water Park,Manag_Unit_48,DIN,0.0006843720704849565,t/yr
MW,O-Connell,Manag_Unit_48,DIN,0.0025500462523689875,t/yr
MW,Pioneer,Manag_Unit_48,DIN,0.005632927223521277,t/yr
MW,Plane,Manag_Unit_48,DIN,0.004801658295198175,t/yr
MW,Proserpine,Manag_Unit_48,DIN,0.003406274245588027,t/yr
WT,Barron,Manag_Unit_48,DIN,0.0032603663301849447,t/yr
WT,Daintree,Manag_Unit_48,DIN,0.002113761419160799,t/yr
WT,Johnstone,Manag_Unit_48,DIN,0.02403851204453408,t/yr
WT,Lower Herbert,Manag_Unit_48,DIN,0.028371256461757463,t/yr
WT,Mossman,Manag_Unit_48,DIN,0.0015108316878957252,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIN,0.013383740705742001,t/yr
WT,Murray,Manag_Unit_48,DIN,0.007591344401304586,t/yr
WT,Tully,Manag_Unit_48,DIN,0.01580746180959334,t/yr
WT,Upper Herbert,Manag_Unit_48,DIN,0.0030806613767989013,t/yr
BM,Baffle,Manag_Unit_48,DIP,6.184700460975231e-05,t/yr
BM,Burnett,Manag_Unit_48,DIP,0.0006229574423693184,t/yr
BM,Burrum,Manag_Unit_48,DIP,0.00021840857751466824,t/yr
BM,Kolan,Manag_Unit_48,DIP,0.00012267127368139258,t/yr
BM,Mary,Manag_Unit_48,DIP,0.0007838899836833098,t/yr
BU,Belyando,Manag_Unit_48,DIP,1.677966756074293e-05,t/yr
BU,Black,Manag_Unit_48,DIP,7.354937955532949e-05,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIP,1.6839401694941124e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIP,0.0009957437235706495,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIP,0.00012479950174310972,t/yr
BU,Don,Manag_Unit_48,DIP,0.0002424574840723853,t/yr
BU,East Burdekin,Manag_Unit_48,DIP,0.00010032803428258224,t/yr
BU,Haughton,Manag_Unit_48,DIP,0.0010131106026603513,t/yr
BU,Ross,Manag_Unit_48,DIP,0.0003080187627179208,t/yr
BU,Suttor,Manag_Unit_48,DIP,0.00021928532819419526,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIP,0.000280399209332685,t/yr
CY,Endeavour,Manag_Unit_48,DIP,0.0001091896546014052,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIP,1.3307556118329773e-05,t/yr
CY,Jeannie,Manag_Unit_48,DIP,2.0915529467322682e-05,t/yr
CY,Lockhart,Manag_Unit_48,DIP,4.109981520873207e-06,t/yr
CY,Normanby,Manag_Unit_48,DIP,0.0003368854604383987,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIP,4.064887361793575e-05,t/yr
CY,Stewart,Manag_Unit_48,DIP,1.9023372962916192e-06,t/yr
FI,Boyne,Manag_Unit_48,DIP,0.0003386990897495096,t/yr
FI,Calliope,Manag_Unit_48,DIP,0.00015617227440468338,t/yr
FI,Comet,Manag_Unit_48,DIP,0.0015473573188032688,t/yr
FI,Dawson,Manag_Unit_48,DIP,0.005252372695920782,t/yr
FI,Fitzroy,Manag_Unit_48,DIP,0.002592332936435127,t/yr
FI,Isaac,Manag_Unit_48,DIP,0.00043031470419469946,t/yr
FI,Mackenzie,Manag_Unit_48,DIP,0.00030934668840000687,t/yr
FI,Nogoa,Manag_Unit_48,DIP,0.0005966079896815812,t/yr
FI,Shoalwater,Manag_Unit_48,DIP,8.269631665309991e-07,t/yr
FI,Styx,Manag_Unit_48,DIP,0.00011540536926331578,t/yr
FI,Theresa,Manag_Unit_48,DIP,0.0003711691355827861,t/yr
FI,Water Park,Manag_Unit_48,DIP,0.00017043535639283175,t/yr
MW,O-Connell,Manag_Unit_48,DIP,0.00042158187618096424,t/yr
MW,Pioneer,Manag_Unit_48,DIP,0.0008818309927241144,t/yr
MW,Plane,Manag_Unit_48,DIP,0.0036121472469907547,t/yr
MW,Proserpine,Manag_Unit_48,DIP,0.0007180712758945144,t/yr
WT,Barron,Manag_Unit_48,DIP,0.0003284876653991421,t/yr
WT,Daintree,Manag_Unit_48,DIP,0.00018788118884977353,t/yr
WT,Johnstone,Manag_Unit_48,DIP,0.0019966087905221785,t/yr
WT,Lower Herbert,Manag_Unit_48,DIP,0.0011216643758815128,t/yr
WT,Mossman,Manag_Unit_48,DIP,0.00011354589407918518,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.000719685954614115,t/yr
WT,Murray,Manag_Unit_48,DIP,0.0008555245494242659,t/yr
WT,Tully,Manag_Unit_48,DIP,0.000580765293087859,t/yr
WT,Upper Herbert,Manag_Unit_48,DIP,0.00038515084282426417,t/yr
BM,Baffle,Manag_Unit_48,DON,0.005418672541060797,t/yr
