Scenario,Region,Basin,FU,Constituent,LoadToRegExport,BasinScale,Units
PREDEV,CY,Endeavour,Bananas,FS,0.004805854263516069,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Conservation,FS,46.16020136347826,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Cropping,FS,0.02186215159121205,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Forestry,FS,0.6424491460021178,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Grazing,FS,3.204924941407748,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Horticulture,FS,0.007731462517820936,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Stream,FS,5.370360833640479,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Urban + Other,FS,0.3683559165326729,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,PN,241.70855977554984,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,PN,0.004283161039596245,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,PN,3.117409968047726,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,PN,15.428276387669378,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,PN,0.003593564997113953,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,PN,3.687900516718039,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,PN,0.13838063933158032,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,PP,92.28910541036404,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,PP,0.0017566489286612698,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,PP,1.6727360376960487,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,PP,4.778700842962825,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,PP,0.0010501059704998658,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,PP,2.167155786625384,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,PP,0.04274073591370566,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,DIN,0.009209392039261917,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,DIN,27.659519848975915,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,DIN,0.04167502736937708,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,DIN,0.45394929939842893,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,DIN,7.425410033197583,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,DIN,0.014792943984005375,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,DIN,0.7146947445439219,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,DON,0.050546304450293,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,DON,159.3958107732084,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,DON,0.22947378419796832,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,DON,2.5891655096440442,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,DON,42.340159317113425,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,DON,0.08191982497196751,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,DON,4.043041580417449,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,DIP,0.0011886685369383808,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,DIP,3.6332583838226493,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,DIP,0.0053852004693316245,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,DIP,0.05940548789813135,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,DIP,0.9716188576576268,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,DIP,0.0019154105374048385,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,DIP,0.09324990765368857,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,DOP,0.003177220760502503,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,DOP,11.017311745182228,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,DOP,0.014521272581530463,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,DOP,0.17559654661869614,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,DOP,2.8700108299904454,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,DOP,0.005245062178976129,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,DOP,0.2699786040989723,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Conservation,FS,10.451397250470896,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Cropping,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Forestry,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Grazing,FS,0.12199140484104952,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Horticulture,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Stream,FS,0.08639108730739385,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Urban + Other,FS,0.009817569063474207,Manag_Unit_48,kt/yr
PREDEV,CY,Jacky Jacky,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,PN,172.64917819678527,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,PN,2.247192536779455,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,PN,0.04921424298231948,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,PN,0.0057175978181519685,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,PP,67.64072929048412,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,PP,0.33171180247575194,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,PP,0.06664431898645248,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,PP,0.0071747114407458065,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DIN,41.32918502545256,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DIN,4.146900387559571,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DIN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DIN,0.01612452172350219,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DON,234.5435448843261,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DON,23.707425159256967,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DON,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DON,0.08878777855952806,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DIP,3.4871558186299083,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DIP,0.3523081287143663,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Sugarcane,DIP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Urban + Other,DIP,0.0013227442673462277,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Bananas,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Conservation,DOP,14.206965541192972,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Cropping,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Dairy,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Forestry,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Grazing,DOP,1.449631225743737,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Horticulture,DOP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Jacky Jacky,Stream,DOP,0.0,Manag_Unit_48,t/yr
