Scenario,Region,Basin,FU,Constituent,LoadToStream,BasinScale,Units
PREDEV,CY,Endeavour,Bananas,FS,0.004840204153358657,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Conservation,FS,46.4474585531042,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Cropping,FS,0.021866364968178936,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Dairy,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Forestry,FS,0.6478539630265404,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Grazing,FS,3.2222512939009778,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Horticulture,FS,0.0077383742245695,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Stream,FS,5.392353682757178,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Sugarcane,FS,0.0,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Urban + Other,FS,0.3696070256865798,Manag_Unit_48,kt/yr
PREDEV,CY,Endeavour,Bananas,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,PN,243.0505933420059,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,PN,0.004283908607269466,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,PN,3.1414913663926325,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Grazing,PN,15.495528980879651,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Horticulture,PN,0.0035948035046645664,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Stream,PN,3.703089831321859,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Sugarcane,PN,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Urban + Other,PN,0.13893797141889558,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Bananas,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Conservation,PP,92.73578698727955,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Cropping,PP,0.0017569480249711535,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Dairy,PP,0.0,Manag_Unit_48,t/yr
PREDEV,CY,Endeavour,Forestry,PP,1.6863195585431172,Manag_Unit_48,t/yr
