Scenario,Region,Basin,Constituent,BasinScale,Units,LoadToStream
BASE,BM,Baffle,DIN,Manag_Unit_48,t/yr,91.79724876442643
BASE,BM,Baffle,DIP,Manag_Unit_48,t/yr,23.706782125470735
BASE,BM,Baffle,DON,Manag_Unit_48,t/yr,353.4329385952776
BASE,BM,Baffle,DOP,Manag_Unit_48,t/yr,13.8390506408841
BASE,BM,Baffle,FS,Manag_Unit_48,kt/yr,34.32745353775845
BASE,BM,Baffle,PN,Manag_Unit_48,t/yr,125.72796995068683
BASE,BM,Baffle,PP,Manag_Unit_48,t/yr,66.90745873071253
BASE,BM,Burnett,DIN,Manag_Unit_48,t/yr,279.7238017718609
BASE,BM,Burnett,DIP,Manag_Unit_48,t/yr,59.16633074938054
BASE,BM,Burnett,DON,Manag_Unit_48,t/yr,625.8189550558383
BASE,BM,Burnett,DOP,Manag_Unit_48,t/yr,29.661182451215232
BASE,BM,Burnett,FS,Manag_Unit_48,kt/yr,1037.9432951302383
BASE,BM,Burnett,PN,Manag_Unit_48,t/yr,3248.318023920112
BASE,BM,Burnett,PP,Manag_Unit_48,t/yr,985.8534135241414
BASE,BM,Burrum,DIN,Manag_Unit_48,t/yr,82.00176660282196
BASE,BM,Burrum,DIP,Manag_Unit_48,t/yr,15.470850987574803
BASE,BM,Burrum,DON,Manag_Unit_48,t/yr,171.3515663126087
BASE,BM,Burrum,DOP,Manag_Unit_48,t/yr,7.731391476828566
BASE,BM,Burrum,FS,Manag_Unit_48,kt/yr,18.12611840899232
BASE,BM,Burrum,PN,Manag_Unit_48,t/yr,61.239958653912275
BASE,BM,Burrum,PP,Manag_Unit_48,t/yr,20.571409821711
BASE,BM,Kolan,DIN,Manag_Unit_48,t/yr,100.08017250152331
BASE,BM,Kolan,DIP,Manag_Unit_48,t/yr,14.9476634083951
BASE,BM,Kolan,DON,Manag_Unit_48,t/yr,199.83636981354906
BASE,BM,Kolan,DOP,Manag_Unit_48,t/yr,8.428545524058467
BASE,BM,Kolan,FS,Manag_Unit_48,kt/yr,62.727689940328524
BASE,BM,Kolan,PN,Manag_Unit_48,t/yr,295.3428591925288
BASE,BM,Kolan,PP,Manag_Unit_48,t/yr,95.3309550779719
BASE,BM,Mary,DIN,Manag_Unit_48,t/yr,402.05917796733263
BASE,BM,Mary,DIP,Manag_Unit_48,t/yr,48.2007309129232
BASE,BM,Mary,DON,Manag_Unit_48,t/yr,959.5407615526874
BASE,BM,Mary,DOP,Manag_Unit_48,t/yr,37.11204206659227
BASE,BM,Mary,FS,Manag_Unit_48,kt/yr,446.30158337689454
BASE,BM,Mary,PN,Manag_Unit_48,t/yr,1080.9486860167244
BASE,BM,Mary,PP,Manag_Unit_48,t/yr,418.1456882662663
BASE,BU,Belyando,DIN,Manag_Unit_48,t/yr,31.210957952088446
BASE,BU,Belyando,DIP,Manag_Unit_48,t/yr,30.342576887747168
BASE,BU,Belyando,DON,Manag_Unit_48,t/yr,262.4101112266997
BASE,BU,Belyando,DOP,Manag_Unit_48,t/yr,12.510677695558588
BASE,BU,Belyando,FS,Manag_Unit_48,kt/yr,129.53679901432318
BASE,BU,Belyando,PN,Manag_Unit_48,t/yr,125.62875865541929
BASE,BU,Belyando,PP,Manag_Unit_48,t/yr,97.68754570507505
BASE,BU,Black,DIN,Manag_Unit_48,t/yr,57.511748301811096
BASE,BU,Black,DIP,Manag_Unit_48,t/yr,22.646398124729675
BASE,BU,Black,DON,Manag_Unit_48,t/yr,179.48231454071305
BASE,BU,Black,DOP,Manag_Unit_48,t/yr,8.046917175264912
BASE,BU,Black,FS,Manag_Unit_48,kt/yr,37.71111814255824
BASE,BU,Black,PN,Manag_Unit_48,t/yr,69.08591721584723
BASE,BU,Black,PP,Manag_Unit_48,t/yr,26.670248657745017
BASE,BU,Bowen Bogie,DIN,Manag_Unit_48,t/yr,267.64081646962825
BASE,BU,Bowen Bogie,DIP,Manag_Unit_48,t/yr,71.59998852685996
BASE,BU,Bowen Bogie,DON,Manag_Unit_48,t/yr,427.9471775269838
BASE,BU,Bowen Bogie,DOP,Manag_Unit_48,t/yr,27.009796328207266
BASE,BU,Bowen Bogie,FS,Manag_Unit_48,kt/yr,1800.9319482417575
BASE,BU,Bowen Bogie,PN,Manag_Unit_48,t/yr,2147.27663740204
BASE,BU,Bowen Bogie,PP,Manag_Unit_48,t/yr,1508.787021178174
BASE,BU,Burdekin Delta,DIN,Manag_Unit_48,t/yr,427.94322780415075
BASE,BU,Burdekin Delta,DIP,Manag_Unit_48,t/yr,32.72663246511637
BASE,BU,Burdekin Delta,DON,Manag_Unit_48,t/yr,70.57167471264634
BASE,BU,Burdekin Delta,DOP,Manag_Unit_48,t/yr,9.695275495653842
BASE,BU,Burdekin Delta,FS,Manag_Unit_48,kt/yr,34.39723256037498
BASE,BU,Burdekin Delta,PN,Manag_Unit_48,t/yr,92.02545581938664
BASE,BU,Burdekin Delta,PP,Manag_Unit_48,t/yr,54.56658600330042
BASE,BU,Cape Campaspe,DIN,Manag_Unit_48,t/yr,35.82932047251306
BASE,BU,Cape Campaspe,DIP,Manag_Unit_48,t/yr,18.110885154227983
BASE,BU,Cape Campaspe,DON,Manag_Unit_48,t/yr,235.8353811510885
BASE,BU,Cape Campaspe,DOP,Manag_Unit_48,t/yr,17.896174345329506
BASE,BU,Cape Campaspe,FS,Manag_Unit_48,kt/yr,162.02007259310486
BASE,BU,Cape Campaspe,PN,Manag_Unit_48,t/yr,340.967806014315
BASE,BU,Cape Campaspe,PP,Manag_Unit_48,t/yr,117.39580938914136
BASE,BU,Don,DIN,Manag_Unit_48,t/yr,101.92108753653108
BASE,BU,Don,DIP,Manag_Unit_48,t/yr,38.5312103214705
BASE,BU,Don,DON,Manag_Unit_48,t/yr,178.63173160802918
BASE,BU,Don,DOP,Manag_Unit_48,t/yr,19.210883113642463
BASE,BU,Don,FS,Manag_Unit_48,kt/yr,152.1786664810462
BASE,BU,Don,PN,Manag_Unit_48,t/yr,289.9586158197241
BASE,BU,Don,PP,Manag_Unit_48,t/yr,126.78969102682095
BASE,BU,East Burdekin,DIN,Manag_Unit_48,t/yr,53.222736675890516
BASE,BU,East Burdekin,DIP,Manag_Unit_48,t/yr,13.103158607419685
BASE,BU,East Burdekin,DON,Manag_Unit_48,t/yr,85.12087836573696
BASE,BU,East Burdekin,DOP,Manag_Unit_48,t/yr,5.179629926336145
BASE,BU,East Burdekin,FS,Manag_Unit_48,kt/yr,131.7903955770273
BASE,BU,East Burdekin,PN,Manag_Unit_48,t/yr,122.6501921905703
BASE,BU,East Burdekin,PP,Manag_Unit_48,t/yr,112.75798226107908
BASE,BU,Haughton,DIN,Manag_Unit_48,t/yr,388.80687087332825
BASE,BU,Haughton,DIP,Manag_Unit_48,t/yr,55.238661777911716
BASE,BU,Haughton,DON,Manag_Unit_48,t/yr,301.4310431859731
BASE,BU,Haughton,DOP,Manag_Unit_48,t/yr,19.086458831326595
BASE,BU,Haughton,FS,Manag_Unit_48,kt/yr,101.75012552661758
