Region,Basin,BasinScale,Constituent,PercentReduction,Units
BM,Baffle,Manag_Unit_48,DIN,-1.3615185792042071e-09,%
BM,Burnett,Manag_Unit_48,DIN,5.594882787161158,%
BM,Burrum,Manag_Unit_48,DIN,0.5100946182687628,%
BM,Kolan,Manag_Unit_48,DIN,5.630761074455309,%
BM,Mary,Manag_Unit_48,DIN,-2.1462251316681643e-09,%
BU,Belyando,Manag_Unit_48,DIN,-12.787304294156199,%
BU,Black,Manag_Unit_48,DIN,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DIN,7.17426218056673,%
BU,Burdekin Delta,Manag_Unit_48,DIN,10.557485438581212,%
BU,Cape Campaspe,Manag_Unit_48,DIN,6.885485097978089,%
BU,Don,Manag_Unit_48,DIN,-3.898923819772528e-08,%
BU,East Burdekin,Manag_Unit_48,DIN,-0.44953623736438425,%
BU,Haughton,Manag_Unit_48,DIN,11.608515505623485,%
BU,Ross,Manag_Unit_48,DIN,0.0,%
BU,Suttor,Manag_Unit_48,DIN,-0.9950851576226655,%
BU,Upper Burdekin,Manag_Unit_48,DIN,9.608943277374646,%
CY,Endeavour,Manag_Unit_48,DIN,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DIN,0.0,%
CY,Jeannie,Manag_Unit_48,DIN,0.0,%
CY,Lockhart,Manag_Unit_48,DIN,0.0,%
CY,Normanby,Manag_Unit_48,DIN,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0,%
CY,Stewart,Manag_Unit_48,DIN,0.0,%
FI,Boyne,Manag_Unit_48,DIN,0.0,%
FI,Calliope,Manag_Unit_48,DIN,0.0,%
FI,Comet,Manag_Unit_48,DIN,0.0,%
FI,Dawson,Manag_Unit_48,DIN,0.0,%
FI,Fitzroy,Manag_Unit_48,DIN,0.0,%
FI,Isaac,Manag_Unit_48,DIN,0.0,%
FI,Mackenzie,Manag_Unit_48,DIN,0.0,%
FI,Nogoa,Manag_Unit_48,DIN,0.0,%
FI,Shoalwater,Manag_Unit_48,DIN,0.0,%
FI,Styx,Manag_Unit_48,DIN,0.0,%
FI,Theresa,Manag_Unit_48,DIN,0.0,%
FI,Water Park,Manag_Unit_48,DIN,0.0,%
MW,O-Connell,Manag_Unit_48,DIN,1.1610518629054445,%
MW,Pioneer,Manag_Unit_48,DIN,0.08851927401937329,%
MW,Plane,Manag_Unit_48,DIN,1.4256786872388307,%
MW,Proserpine,Manag_Unit_48,DIN,-0.823554679841049,%
WT,Barron,Manag_Unit_48,DIN,2.5511970495759173,%
WT,Daintree,Manag_Unit_48,DIN,0.0,%
WT,Johnstone,Manag_Unit_48,DIN,6.8847697219828765,%
WT,Lower Herbert,Manag_Unit_48,DIN,1.345755069433849,%
WT,Mossman,Manag_Unit_48,DIN,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DIN,3.500651026550218,%
WT,Murray,Manag_Unit_48,DIN,3.7731148571246425,%
WT,Tully,Manag_Unit_48,DIN,2.1099955364929794,%
WT,Upper Herbert,Manag_Unit_48,DIN,-0.00951405010164074,%
BM,Baffle,Manag_Unit_48,DIP,2.124243730341792e-08,%
BM,Burnett,Manag_Unit_48,DIP,4.50452316630401e-09,%
BM,Burrum,Manag_Unit_48,DIP,-1.1740615276585028e-10,%
BM,Kolan,Manag_Unit_48,DIP,-4.370210671050467e-09,%
BM,Mary,Manag_Unit_48,DIP,-5.053169448741648e-10,%
BU,Belyando,Manag_Unit_48,DIP,-0.28273744158163905,%
BU,Black,Manag_Unit_48,DIP,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DIP,0.021956029519410294,%
BU,Burdekin Delta,Manag_Unit_48,DIP,1.2685121595767206e-05,%
