Region,Basin,BasinScale,Constituent,PercentReduction,Units
BM,Baffle,Manag_Unit_48,DIN,4.427813339659975e-10,%
BM,Burnett,Manag_Unit_48,DIN,5.411391176930412,%
BM,Burrum,Manag_Unit_48,DIN,0.7867146716186576,%
BM,Kolan,Manag_Unit_48,DIN,4.063867661340559,%
BM,Mary,Manag_Unit_48,DIN,1.316684045170241e-09,%
BU,Belyando,Manag_Unit_48,DIN,0.0,%
BU,Black,Manag_Unit_48,DIN,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DIN,0.0,%
BU,Burdekin Delta,Manag_Unit_48,DIN,10.541217494489812,%
BU,Cape Campaspe,Manag_Unit_48,DIN,0.0,%
BU,Don,Manag_Unit_48,DIN,-3.8989636331544654e-08,%
BU,East Burdekin,Manag_Unit_48,DIN,0.010160612974919764,%
BU,Haughton,Manag_Unit_48,DIN,11.60743207314867,%
BU,Ross,Manag_Unit_48,DIN,0.0,%
BU,Suttor,Manag_Unit_48,DIN,0.0,%
BU,Upper Burdekin,Manag_Unit_48,DIN,0.0,%
CY,Endeavour,Manag_Unit_48,DIN,0.0,%
CY,Jacky Jacky,Manag_Unit_48,DIN,0.0,%
CY,Jeannie,Manag_Unit_48,DIN,0.0,%
CY,Lockhart,Manag_Unit_48,DIN,0.0,%
CY,Normanby,Manag_Unit_48,DIN,0.0,%
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0,%
CY,Stewart,Manag_Unit_48,DIN,0.0,%
FI,Boyne,Manag_Unit_48,DIN,0.0,%
FI,Calliope,Manag_Unit_48,DIN,0.0,%
FI,Comet,Manag_Unit_48,DIN,0.0,%
FI,Dawson,Manag_Unit_48,DIN,0.0,%
FI,Fitzroy,Manag_Unit_48,DIN,0.0,%
FI,Isaac,Manag_Unit_48,DIN,0.0,%
FI,Mackenzie,Manag_Unit_48,DIN,0.0,%
FI,Nogoa,Manag_Unit_48,DIN,0.0,%
FI,Shoalwater,Manag_Unit_48,DIN,0.0,%
FI,Styx,Manag_Unit_48,DIN,0.0,%
FI,Theresa,Manag_Unit_48,DIN,0.0,%
FI,Water Park,Manag_Unit_48,DIN,0.0,%
MW,O-Connell,Manag_Unit_48,DIN,1.1535707942611866,%
MW,Pioneer,Manag_Unit_48,DIN,0.197527656407371,%
MW,Plane,Manag_Unit_48,DIN,1.4256531692428709,%
MW,Proserpine,Manag_Unit_48,DIN,-0.8154262003228437,%
WT,Barron,Manag_Unit_48,DIN,2.233892609206737,%
WT,Daintree,Manag_Unit_48,DIN,0.0,%
WT,Johnstone,Manag_Unit_48,DIN,6.88456523843416,%
WT,Lower Herbert,Manag_Unit_48,DIN,1.339354010012778,%
WT,Mossman,Manag_Unit_48,DIN,0.0,%
WT,Mulgrave-Russell,Manag_Unit_48,DIN,3.5021444086010307,%
WT,Murray,Manag_Unit_48,DIN,3.7736427684063822,%
WT,Tully,Manag_Unit_48,DIN,2.1089507742949607,%
WT,Upper Herbert,Manag_Unit_48,DIN,0.0,%
BM,Baffle,Manag_Unit_48,DIP,3.329813155553573e-08,%
BM,Burnett,Manag_Unit_48,DIP,-3.1289208297786053e-09,%
BM,Burrum,Manag_Unit_48,DIP,4.731587412172722e-09,%
BM,Kolan,Manag_Unit_48,DIP,3.004150677192125e-09,%
BM,Mary,Manag_Unit_48,DIP,3.6811400183918956e-09,%
BU,Belyando,Manag_Unit_48,DIP,-0.23840530454260553,%
BU,Black,Manag_Unit_48,DIP,0.0,%
BU,Bowen Bogie,Manag_Unit_48,DIP,0.0,%
BU,Burdekin Delta,Manag_Unit_48,DIP,0.0,%
