Region,Basin,BasinScale,Constituent,Reduction,Units
BM,Baffle,Manag_Unit_48,DIN,-1.1761377057458352e-14,t/yr
BM,Burnett,Manag_Unit_48,DIN,0.0002391106945293738,t/yr
BM,Burrum,Manag_Unit_48,DIN,7.275606921128978e-06,t/yr
BM,Kolan,Manag_Unit_48,DIN,0.00011409769778832934,t/yr
BM,Mary,Manag_Unit_48,DIN,-1.454016758846895e-13,t/yr
BU,Belyando,Manag_Unit_48,DIN,-1.475973821649627e-06,t/yr
BU,Black,Manag_Unit_48,DIN,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIN,-1.3033826019862242e-05,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIN,0.0014612175287829984,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIN,-1.7007423667060094e-06,t/yr
BU,Don,Manag_Unit_48,DIN,-5.140018780972847e-13,t/yr
BU,East Burdekin,Manag_Unit_48,DIN,-2.5852308500293003e-06,t/yr
BU,Haughton,Manag_Unit_48,DIN,0.0011875452429737114,t/yr
BU,Ross,Manag_Unit_48,DIN,0.0,t/yr
BU,Suttor,Manag_Unit_48,DIN,-2.2084433633260405e-06,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIN,-2.417730847091851e-05,t/yr
CY,Endeavour,Manag_Unit_48,DIN,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIN,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DIN,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DIN,0.0,t/yr
CY,Normanby,Manag_Unit_48,DIN,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0,t/yr
CY,Stewart,Manag_Unit_48,DIN,0.0,t/yr
FI,Boyne,Manag_Unit_48,DIN,0.0,t/yr
FI,Calliope,Manag_Unit_48,DIN,0.0,t/yr
FI,Comet,Manag_Unit_48,DIN,0.0,t/yr
FI,Dawson,Manag_Unit_48,DIN,0.0,t/yr
FI,Fitzroy,Manag_Unit_48,DIN,0.0,t/yr
FI,Isaac,Manag_Unit_48,DIN,0.0,t/yr
FI,Mackenzie,Manag_Unit_48,DIN,0.0,t/yr
FI,Nogoa,Manag_Unit_48,DIN,0.0,t/yr
FI,Shoalwater,Manag_Unit_48,DIN,0.0,t/yr
FI,Styx,Manag_Unit_48,DIN,0.0,t/yr
FI,Theresa,Manag_Unit_48,DIN,0.0,t/yr
FI,Water Park,Manag_Unit_48,DIN,0.0,t/yr
