Region,Basin,BasinScale,Constituent,Reduction,Units
BM,Baffle,Manag_Unit_48,DIN,3.913669388566632e-15,t/yr
BM,Burnett,Manag_Unit_48,DIN,0.0002839004060945437,t/yr
BM,Burrum,Manag_Unit_48,DIN,1.2107299048021976e-05,t/yr
BM,Kolan,Manag_Unit_48,DIN,9.050777744871965e-05,t/yr
BM,Mary,Manag_Unit_48,DIN,9.22890800817792e-14,t/yr
BU,Belyando,Manag_Unit_48,DIN,0.0,t/yr
BU,Black,Manag_Unit_48,DIN,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIN,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIN,0.0014750909487028707,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIN,0.0,t/yr
BU,Don,Manag_Unit_48,DIN,-5.140141941713712e-13,t/yr
BU,East Burdekin,Manag_Unit_48,DIN,6.676860061437159e-08,t/yr
BU,Haughton,Manag_Unit_48,DIN,0.0011877094832454078,t/yr
BU,Ross,Manag_Unit_48,DIN,0.0,t/yr
BU,Suttor,Manag_Unit_48,DIN,0.0,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIN,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DIN,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIN,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DIN,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DIN,0.0,t/yr
CY,Normanby,Manag_Unit_48,DIN,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIN,0.0,t/yr
CY,Stewart,Manag_Unit_48,DIN,0.0,t/yr
FI,Boyne,Manag_Unit_48,DIN,0.0,t/yr
FI,Calliope,Manag_Unit_48,DIN,0.0,t/yr
FI,Comet,Manag_Unit_48,DIN,0.0,t/yr
FI,Dawson,Manag_Unit_48,DIN,0.0,t/yr
FI,Fitzroy,Manag_Unit_48,DIN,0.0,t/yr
FI,Isaac,Manag_Unit_48,DIN,0.0,t/yr
FI,Mackenzie,Manag_Unit_48,DIN,0.0,t/yr
FI,Nogoa,Manag_Unit_48,DIN,0.0,t/yr
FI,Shoalwater,Manag_Unit_48,DIN,0.0,t/yr
FI,Styx,Manag_Unit_48,DIN,0.0,t/yr
FI,Theresa,Manag_Unit_48,DIN,0.0,t/yr
FI,Water Park,Manag_Unit_48,DIN,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DIN,2.9416588807480557e-05,t/yr
MW,Pioneer,Manag_Unit_48,DIN,1.1126589131754372e-05,t/yr
MW,Plane,Manag_Unit_48,DIN,6.8454993661706e-05,t/yr
MW,Proserpine,Manag_Unit_48,DIN,-2.7775652653374057e-05,t/yr
WT,Barron,Manag_Unit_48,DIN,7.28330824830664e-05,t/yr
WT,Daintree,Manag_Unit_48,DIN,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DIN,0.001654947044054802,t/yr
WT,Lower Herbert,Manag_Unit_48,DIN,0.000379991561111558,t/yr
WT,Mossman,Manag_Unit_48,DIN,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIN,0.0004687179267878037,t/yr
WT,Murray,Manag_Unit_48,DIN,0.00028647021902465327,t/yr
WT,Tully,Manag_Unit_48,DIN,0.00033337158822979897,t/yr
WT,Upper Herbert,Manag_Unit_48,DIN,0.0,t/yr
BM,Baffle,Manag_Unit_48,DIP,2.059389695811357e-14,t/yr
BM,Burnett,Manag_Unit_48,DIP,-1.9491845174949656e-14,t/yr
BM,Burrum,Manag_Unit_48,DIP,1.0334192760789544e-14,t/yr
BM,Kolan,Manag_Unit_48,DIP,3.685229899019759e-15,t/yr
BM,Mary,Manag_Unit_48,DIP,2.8856087889532015e-14,t/yr
BU,Belyando,Manag_Unit_48,DIP,-4.0003617549425975e-08,t/yr
BU,Black,Manag_Unit_48,DIP,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DIP,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DIP,0.0,t/yr
BU,Cape Campaspe,Manag_Unit_48,DIP,0.0,t/yr
BU,Don,Manag_Unit_48,DIP,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DIP,0.0,t/yr
BU,Haughton,Manag_Unit_48,DIP,0.0,t/yr
BU,Ross,Manag_Unit_48,DIP,0.0,t/yr
BU,Suttor,Manag_Unit_48,DIP,-3.803236345814772e-07,t/yr
BU,Upper Burdekin,Manag_Unit_48,DIP,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DIP,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DIP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DIP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DIP,0.0,t/yr
CY,Normanby,Manag_Unit_48,DIP,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DIP,0.0,t/yr
CY,Stewart,Manag_Unit_48,DIP,0.0,t/yr
FI,Boyne,Manag_Unit_48,DIP,0.0,t/yr
FI,Calliope,Manag_Unit_48,DIP,0.0,t/yr
FI,Comet,Manag_Unit_48,DIP,-3.8369307731045415e-16,t/yr
FI,Dawson,Manag_Unit_48,DIP,0.0002873318792579899,t/yr
FI,Fitzroy,Manag_Unit_48,DIP,7.5828637640687665e-06,t/yr
FI,Isaac,Manag_Unit_48,DIP,0.00017670804344650196,t/yr
FI,Mackenzie,Manag_Unit_48,DIP,1.9438757055932144e-05,t/yr
FI,Nogoa,Manag_Unit_48,DIP,0.00010525163305510977,t/yr
FI,Shoalwater,Manag_Unit_48,DIP,0.0,t/yr
FI,Styx,Manag_Unit_48,DIP,0.0,t/yr
FI,Theresa,Manag_Unit_48,DIP,4.066164479520241e-05,t/yr
FI,Water Park,Manag_Unit_48,DIP,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DIP,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DIP,0.0,t/yr
MW,Plane,Manag_Unit_48,DIP,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DIP,0.0,t/yr
WT,Barron,Manag_Unit_48,DIP,0.0,t/yr
WT,Daintree,Manag_Unit_48,DIP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DIP,5.307488962127139e-06,t/yr
WT,Lower Herbert,Manag_Unit_48,DIP,0.0,t/yr
WT,Mossman,Manag_Unit_48,DIP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DIP,0.0,t/yr
WT,Murray,Manag_Unit_48,DIP,0.0,t/yr
WT,Tully,Manag_Unit_48,DIP,7.118659059533645e-08,t/yr
WT,Upper Herbert,Manag_Unit_48,DIP,0.0,t/yr
BM,Baffle,Manag_Unit_48,DON,3.5983778919520165e-13,t/yr
BM,Burnett,Manag_Unit_48,DON,2.980035181584147e-13,t/yr
BM,Burrum,Manag_Unit_48,DON,1.6859094860895614e-13,t/yr
BM,Kolan,Manag_Unit_48,DON,5.962779899467326e-14,t/yr
BM,Mary,Manag_Unit_48,DON,4.3161207941011526e-13,t/yr
BU,Belyando,Manag_Unit_48,DON,0.0,t/yr
BU,Black,Manag_Unit_48,DON,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DON,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DON,0.0,t/yr
BU,Cape Campaspe,Manag_Unit_48,DON,0.0,t/yr
BU,Don,Manag_Unit_48,DON,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DON,0.0,t/yr
BU,Haughton,Manag_Unit_48,DON,0.0,t/yr
BU,Ross,Manag_Unit_48,DON,0.0,t/yr
BU,Suttor,Manag_Unit_48,DON,0.0,t/yr
BU,Upper Burdekin,Manag_Unit_48,DON,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DON,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DON,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DON,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DON,0.0,t/yr
CY,Normanby,Manag_Unit_48,DON,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DON,0.0,t/yr
CY,Stewart,Manag_Unit_48,DON,0.0,t/yr
FI,Boyne,Manag_Unit_48,DON,0.0,t/yr
FI,Calliope,Manag_Unit_48,DON,0.0,t/yr
FI,Comet,Manag_Unit_48,DON,0.0,t/yr
FI,Dawson,Manag_Unit_48,DON,0.0,t/yr
FI,Fitzroy,Manag_Unit_48,DON,0.0,t/yr
FI,Isaac,Manag_Unit_48,DON,0.0,t/yr
FI,Mackenzie,Manag_Unit_48,DON,0.0,t/yr
FI,Nogoa,Manag_Unit_48,DON,0.0,t/yr
FI,Shoalwater,Manag_Unit_48,DON,0.0,t/yr
FI,Styx,Manag_Unit_48,DON,0.0,t/yr
FI,Theresa,Manag_Unit_48,DON,0.0,t/yr
FI,Water Park,Manag_Unit_48,DON,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DON,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DON,0.0,t/yr
MW,Plane,Manag_Unit_48,DON,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DON,0.0,t/yr
WT,Barron,Manag_Unit_48,DON,0.0,t/yr
WT,Daintree,Manag_Unit_48,DON,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DON,0.0,t/yr
WT,Lower Herbert,Manag_Unit_48,DON,0.0,t/yr
WT,Mossman,Manag_Unit_48,DON,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DON,0.0,t/yr
WT,Murray,Manag_Unit_48,DON,0.0,t/yr
WT,Tully,Manag_Unit_48,DON,0.0,t/yr
WT,Upper Herbert,Manag_Unit_48,DON,0.0,t/yr
BM,Baffle,Manag_Unit_48,DOP,-1.4439116569064934e-14,t/yr
BM,Burnett,Manag_Unit_48,DOP,-1.0525980087550125e-14,t/yr
BM,Burrum,Manag_Unit_48,DOP,2.3669954885008338e-15,t/yr
BM,Kolan,Manag_Unit_48,DOP,-1.4689878942893606e-15,t/yr
BM,Mary,Manag_Unit_48,DOP,1.1586583544461367e-15,t/yr
BU,Belyando,Manag_Unit_48,DOP,-4.0003617549425975e-08,t/yr
BU,Black,Manag_Unit_48,DOP,0.0,t/yr
BU,Bowen Bogie,Manag_Unit_48,DOP,0.0,t/yr
BU,Burdekin Delta,Manag_Unit_48,DOP,0.0,t/yr
BU,Cape Campaspe,Manag_Unit_48,DOP,0.0,t/yr
BU,Don,Manag_Unit_48,DOP,0.0,t/yr
BU,East Burdekin,Manag_Unit_48,DOP,0.0,t/yr
BU,Haughton,Manag_Unit_48,DOP,0.0,t/yr
BU,Ross,Manag_Unit_48,DOP,0.0,t/yr
BU,Suttor,Manag_Unit_48,DOP,-3.803236345815364e-07,t/yr
BU,Upper Burdekin,Manag_Unit_48,DOP,0.0,t/yr
CY,Endeavour,Manag_Unit_48,DOP,0.0,t/yr
CY,Jacky Jacky,Manag_Unit_48,DOP,0.0,t/yr
CY,Jeannie,Manag_Unit_48,DOP,0.0,t/yr
CY,Lockhart,Manag_Unit_48,DOP,0.0,t/yr
CY,Normanby,Manag_Unit_48,DOP,0.0,t/yr
CY,Olive Pascoe,Manag_Unit_48,DOP,0.0,t/yr
CY,Stewart,Manag_Unit_48,DOP,0.0,t/yr
FI,Boyne,Manag_Unit_48,DOP,0.0,t/yr
FI,Calliope,Manag_Unit_48,DOP,0.0,t/yr
FI,Comet,Manag_Unit_48,DOP,-9.592326932761354e-17,t/yr
FI,Dawson,Manag_Unit_48,DOP,7.183296981449725e-05,t/yr
FI,Fitzroy,Manag_Unit_48,DOP,1.8957159410173102e-06,t/yr
FI,Isaac,Manag_Unit_48,DOP,4.417701086162561e-05,t/yr
FI,Mackenzie,Manag_Unit_48,DOP,4.8596892639830655e-06,t/yr
FI,Nogoa,Manag_Unit_48,DOP,2.6312908263777443e-05,t/yr
FI,Shoalwater,Manag_Unit_48,DOP,0.0,t/yr
FI,Styx,Manag_Unit_48,DOP,0.0,t/yr
FI,Theresa,Manag_Unit_48,DOP,1.0165411198800545e-05,t/yr
FI,Water Park,Manag_Unit_48,DOP,0.0,t/yr
MW,O-Connell,Manag_Unit_48,DOP,0.0,t/yr
MW,Pioneer,Manag_Unit_48,DOP,0.0,t/yr
MW,Plane,Manag_Unit_48,DOP,0.0,t/yr
MW,Proserpine,Manag_Unit_48,DOP,0.0,t/yr
WT,Barron,Manag_Unit_48,DOP,0.0,t/yr
WT,Daintree,Manag_Unit_48,DOP,0.0,t/yr
WT,Johnstone,Manag_Unit_48,DOP,6.451861724594228e-06,t/yr
WT,Lower Herbert,Manag_Unit_48,DOP,0.0,t/yr
WT,Mossman,Manag_Unit_48,DOP,0.0,t/yr
WT,Mulgrave-Russell,Manag_Unit_48,DOP,0.0,t/yr
WT,Murray,Manag_Unit_48,DOP,0.0,t/yr
WT,Tully,Manag_Unit_48,DOP,2.37288635318104e-07,t/yr
WT,Upper Herbert,Manag_Unit_48,DOP,0.0,t/yr
BM,Baffle,Manag_Unit_48,FS,3.7932376115534796e-10,kt/yr
BM,Burnett,Manag_Unit_48,FS,4.450965696416157e-08,kt/yr
