Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Bananas,DIN,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Conservation,DIN,,report,-1276.374224825704
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Cropping,DIN,,report,10560.269796721703
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Dairy,DIN,,report,0.0
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Forestry,DIN,,report,-407.08143620818737
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Grazing,DIN,,report,149610.56212708843
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Horticulture,DIN,,report,144392.58445999667
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Stream,DIN,,report,0.0
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Sugarcane,DIN,,report,86556.75424569684
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Urban + Other,DIN,,report,388021.5961696328
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Bananas,FS,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Conservation,FS,,report,671784.2044602782
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Cropping,FS,,report,4304297.838881024
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Dairy,FS,,report,0.0
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Forestry,FS,,report,1743603.4948803615
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Grazing,FS,,report,439519859.12143326
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Horticulture,FS,,report,13452768.146858249
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Stream,FS,,report,27119387.980619982
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Sugarcane,FS,,report,3792568.394747847
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Urban + Other,FS,,report,35967648.76456163
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Bananas,PN,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Conservation,PN,,report,3650.003899937379
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Cropping,PN,,report,1396.6891890293514
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Dairy,PN,,report,0.0
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Forestry,PN,,report,1688.158077882821
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Grazing,PN,,report,1709920.7367534009
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Horticulture,PN,,report,4644.318808099371
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Stream,PN,,report,44889.56242056063
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Sugarcane,PN,,report,67064.06661130724
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Urban + Other,PN,,report,6527.4710234828935
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Bananas,PP,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Conservation,PP,,report,2223.8830295961234
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Cropping,PP,,report,700.4165461415604
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Dairy,PP,,report,0.0
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Forestry,PP,,report,711.4783668565506
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Grazing,PP,,report,961536.6936400176
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Horticulture,PP,,report,2114.877185145101
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Stream,PP,,report,18069.58386035754
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Sugarcane,PP,,report,13163.307391273613
FU,FU,ANTHROPOGENIC,Basin,BM,Baffle,Urban + Other,PP,,report,4344.207108215968
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Bananas,DIN,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Conservation,DIN,,report,-12794.34782536191
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Cropping,DIN,,report,262560.87877366366
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Dairy,DIN,,report,1015.5493744479102
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Forestry,DIN,,report,-19357.624469206377
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Grazing,DIN,,report,418794.72220098274
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Horticulture,DIN,,report,447026.9293086624
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Stream,DIN,,report,185813.37628
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Sugarcane,DIN,,report,2362443.6108523486
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Urban + Other,DIN,,report,200862.11569734098
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Bananas,FS,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Conservation,FS,,report,2959826.2394018397
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Cropping,FS,,report,46218141.569224395
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Dairy,FS,,report,983584.3088485773
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Forestry,FS,,report,32605631.226657897
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Grazing,FS,,report,1706327233.54422
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Horticulture,FS,,report,35591611.07406995
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Stream,FS,,report,4048649489.802863
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Sugarcane,FS,,report,30206297.254956275
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Urban + Other,FS,,report,21848034.58924257
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Bananas,PN,,report,
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Conservation,PN,,report,15059.116774665075
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Cropping,PN,,report,37319.542470300425
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Dairy,PN,,report,7942.023163142054
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Forestry,PN,,report,42407.02375910245
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Grazing,PN,,report,8929988.604944658
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Horticulture,PN,,report,14174.89626937857
FU,FU,ANTHROPOGENIC,Basin,BM,Burnett,Stream,PN,,report,3681821.2950145197
