Source,MetricType,Scenario,Scale,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,DIN,,report,655.7580926355784
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,DIN,,report,-6.242609819390509
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,DIN,,report,118.89091594152819
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,DIN,,report,13.286324733117752
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,DIN,,report,52.10882357288662
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,DIN,,report,366.8971703233351
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,DIN,,report,161.79333516791084
FU,FU,ANTHROPOGENIC,GBR,,,Stream,DIN,,report,188.90081489041953
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,DIN,,report,3124.4849593392687
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,DIN,,report,335.34448052973505
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,FS,,report,6.690070355234227
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,FS,,report,228.8858224990421
FU,FU,ANTHROPOGENIC,GBR,,,Cropping,FS,,report,98.6664749187163
FU,FU,ANTHROPOGENIC,GBR,,,Dairy,FS,,report,9.929130670095594
FU,FU,ANTHROPOGENIC,GBR,,,Forestry,FS,,report,30.837464707700057
FU,FU,ANTHROPOGENIC,GBR,,,Grazing,FS,,report,3943.3839299552396
FU,FU,ANTHROPOGENIC,GBR,,,Horticulture,FS,,report,40.79942277071744
FU,FU,ANTHROPOGENIC,GBR,,,Stream,FS,,report,1239.9163670782236
FU,FU,ANTHROPOGENIC,GBR,,,Sugarcane,FS,,report,109.96724634520943
FU,FU,ANTHROPOGENIC,GBR,,,Urban + Other,FS,,report,55.94106750239692
FU,FU,ANTHROPOGENIC,GBR,,,Bananas,PN,,report,38.43389883164476
FU,FU,ANTHROPOGENIC,GBR,,,Conservation,PN,,report,167.72911762259264
