FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,0.0004533468437487245,,-0.0022870804216331333,0.0,0.0,0.0,0.0
Conservation,-0.004914499157844578,-0.036633658023784224,-0.023064345559434735,-0.0,-0.0,-0.0,0.0
Cropping,0.00011584651091004341,-0.0015687028632793746,-0.001541139154721706,0.0,0.0,0.0,0.0
Dairy,,,,,,,
Forestry,-0.1251082207322587,-0.26873965982423953,-0.2261874938605518,0.0,0.0,0.0,0.0
Grazing,0.6981331726005646,0.16541975443261767,0.28210735772776824,0.0,0.0,0.0,0.0
Horticulture,0.00029113549829174915,-0.0011867142939991978,-0.0014818964035999212,0.0,0.0,0.0,0.0
Stream,-0.005476462302586466,-0.004527727320120145,-0.004029159233300404,0.0,0.0,0.0,0.0
Sugarcane,,,,,,,
Urban + Other,-0.002152201842265121,-0.001368221650953277,-0.0013319928407537905,0.0,0.0,0.0,0.0
