FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,515871.45101091336,0.0,16890.613373846398,107818.09783309275,23010.920778450796,4279.8029100264375,3967.317731455617
Conservation,1968756644.1163359,915611.8951729834,445814.5305835176,-54.33300853334367,-146.25906735658646,-6.117214887635782,8.865519330371171
Cropping,25085215.228025965,6717.314112264176,3092.829486509456,10483.724461825257,101871.13705098846,3352.2484050899793,6549.629182987384
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,786621.1211713441,649.7775792300235,493.55061657157785,4654.509084883779,143754.8301826369,3804.9787283810815,5123.656368948539
Grazing,2366353090.5823736,8017082.432206688,2138903.507063523,1348544.9575527748,18296543.940574773,401982.25956419366,558279.8732465305
Horticulture,2580907.2539949194,889.8984541592176,387.26794360787403,23293.090687091513,14793.886744914773,3744.905685736074,665.009606700596
Stream,286152256.89650166,213154.2859829882,110910.22594866069,3405.20131000164,1390.88741312801,429.130763975197,87.9207782278404
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,31007942.445213765,5484.26256218242,1846.000199071306,277673.4994231649,306133.1646562206,56649.1481239254,9020.264442482692
