FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,1005109.1605760392,0.0,16890.613373846398,109566.67237800364,30923.045653598718,4555.287331567707,4555.251805119974
Conservation,8135422307.939032,38821879.212030135,12602892.472845886,10833289.149206389,53695530.64614734,1048433.2442764384,3484930.2590990267
Cropping,27340273.911992997,7609.68234845581,3589.1104461900195,18307.420551215524,137304.81235900515,4576.843772098742,9153.622492853874
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,25504652.793926746,166825.64973208174,67757.15479537864,26754.61410313609,267544.25324970734,6688.617323240313,13285.247418197452
Grazing,2704156941.0066233,10550343.513696264,3200421.4405986564,4542954.962593454,35181242.82449211,831062.3551707963,1757175.423355041
Horticulture,2967623.596031508,1093.5286734998813,459.01089799612794,24191.263471781174,19352.916067145266,3870.5917788879724,967.6404118829296
Stream,958408749.4926891,702804.1119605253,391020.32624583127,3405.20131000164,1390.88741312801,429.130763975197,87.9207782278404
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,44680861.862708375,10387.221189508751,3661.6387918476253,305031.5174496955,460255.82782868395,60167.61523235493,19408.072423640573
