FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,0.0004533468437530095,,-0.002287080421625771,0.0,0.0,0.0,0.0
Conservation,-0.004914499157919359,-0.03663365802366644,-0.023064345559360034,-0.0,-0.0,-0.0,0.0
Cropping,0.0001158465109093829,-0.0015687028632859197,-0.0015411391547336165,0.0,0.0,0.0,0.0
Dairy,,,,,,,
Forestry,-0.1251082207322242,-0.26873965982154985,-0.22618749386083592,0.0,0.0,0.0,0.0
Grazing,0.698133172600547,0.16541975443263227,0.28210735772776896,0.0,0.0,0.0,0.0
Horticulture,0.00029113549828200966,-0.0011867142940184604,-0.0014818964035900738,0.0,0.0,0.0,0.0
Stream,-0.005476462302576364,-0.00452772732015076,-0.004029159233266808,0.0,0.0,0.0,0.0
Sugarcane,,,,,,,
Urban + Other,-0.002152201842265132,-0.0013682216509245467,-0.001331992840759516,0.0,0.0,0.0,0.0
