FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,2.3386869409587234,0.0,-0.38630191156698857,0.0,0.0,0.0,0.0
Conservation,-96754.5286951065,-335.4221305027604,-102.82420388795435,0.0,0.0,0.0,0.0
Cropping,29.060346595942974,-0.10537469881455763,-0.0476648062053755,0.0,0.0,0.0,0.0
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,-984.127688601613,-1.7462100560369436,-1.1163497705565533,0.0,0.0,0.0,0.0
Grazing,16520295.906214237,13261.838072016835,6034.0041681234725,0.0,0.0,0.0,0.0
Horticulture,7.513937194366008,-0.010560552157585334,-0.005738909728620456,0.0,0.0,0.0,0.0
Stream,-15671.020476937294,-9.65104484045878,-4.468749609484803,0.0,0.0,0.0,0.0
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,-667.353508554399,-0.07503686777090479,-0.024588590491930518,0.0,0.0,0.0,0.0
