FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,7.795623136602758e-08,0.0,-1.2876730385524837e-05,0.0,0.0,0.0,0.0
Conservation,-0.003225150956552625,-0.011180737683389452,-0.003427473462920716,0.0,0.0,0.0,0.0
Cropping,9.686782198592425e-07,-3.5124899604999094e-06,-1.5888268735247957e-06,0.0,0.0,0.0,0.0
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,-3.2804256286711464e-05,-5.820700186731642e-05,-3.721165901859891e-05,0.0,0.0,0.0,0.0
Grazing,0.5506765302071273,0.44206126906726695,0.20113347227078293,0.0,0.0,0.0,0.0
Horticulture,2.5046457313715464e-07,-3.5201840525855843e-07,-1.91296990952744e-07,0.0,0.0,0.0,0.0
Stream,-0.0005223673492302794,-0.00032170149468413456,-0.00014895832031491807,0.0,0.0,0.0,0.0
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,-2.2245116951813415e-05,-2.5012289256443054e-06,-8.196196830678737e-07,0.0,0.0,0.0,0.0
