FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,1005106.8218890983,0.0,16890.999675757965,109566.67237800364,30923.045653598718,4555.287331567707,4555.251805119974
Conservation,8135519062.467727,38822214.63416064,12602995.297049774,10833289.149206389,53695530.64614734,1048433.2442764384,3484930.2590990267
Cropping,27340244.8516464,7609.7877231546245,3589.158110996225,18307.420551215524,137304.81235900515,4576.843772098742,9153.622492853874
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,25505636.921615347,166827.39594213778,67758.27114514919,26754.61410313609,267544.25324970734,6688.617323240313,13285.247418197452
Grazing,2687636645.100409,10537081.675624248,3194387.436430533,4542954.962593454,35181242.82449211,831062.3551707963,1757175.423355041
Horticulture,2967616.0820943136,1093.5392340520389,459.01663690585656,24191.263471781174,19352.916067145266,3870.5917788879724,967.6404118829296
Stream,958424420.5131661,702813.7630053657,391024.79499544075,3405.20131000164,1390.88741312801,429.130763975197,87.9207782278404
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,44681529.21621693,10387.296226376522,3661.663380438117,305031.5174496955,460255.82782868395,60167.61523235493,19408.072423640573
