FU,FS,PN,PP,DIN,DON,DIP,DOP
Bananas,489237.7095651259,0.0,0.0,1748.5745449108947,7912.12487514792,275.4844215412696,587.9340736643571
Conservation,6166665663.822696,37906267.31685715,12157077.942262368,10833343.482214922,53695676.9052147,1048439.361491326,3484921.3935796963
Cropping,2255058.683967033,892.3682361916334,496.2809596805639,7823.696089390267,35433.6753080167,1224.595367008763,2603.993309866489
Dairy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forestry,24718031.6727554,166175.87215285172,67263.60417880706,22100.10501825231,123789.42306707043,2883.638594859232,8161.591049248913
Grazing,337803850.4242495,2533261.0814895756,1061517.9335351337,3194410.005040679,16884698.88391734,429080.0956066026,1198895.5501085105
Horticulture,386716.34203658876,203.63021934066361,71.74295438825393,898.1727846896611,4559.029322230494,125.68609315189855,302.6308051823336
Stream,672256492.5961875,489649.8259775371,280110.1002971706,0.0,0.0,0.0,0.0
Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban + Other,13672919.41749461,4902.958627326331,1815.6385927763192,27358.01802653063,154122.66317246333,3518.4671084295364,10387.807981157881
