Region,Site,Node,Year,RepresentivityRating,Flow,TSS,TN,PN,NOX,NH4,DIN,DON,TP,PP,DIP,DOP,Site Code,Display Name
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2006-2007,Indicative,35183,,,,,,,,,,,,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2007-2008,Good,88074,,,,,,,,,,,,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2008-2009,Indicative,33107,,,,,,,,,,,,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2009-2010,Excellent,966998,146732,1262,542,101,114,215,578,181,185,25,23,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2010-2011,Excellent,8884946,2578047,15990,10270,760,689,1450,4261,3776,3174,402,286,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2011-2012,Good,629170,14732,395,108,29,15,44,244,47,32,9,13,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2012-2013,Excellent,7357652,3724459,12151,7255,1466,535,2000,2897,2920,2606,282,78,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2013-2014,Moderate,213960,1316,102,25,5.3,1,6.3,70,6.4,3.8,0.3,2.1,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2014-2015,Good,731508.4444,99000,840,350,120,69,190,300,150,120,17,8.2,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2015-2016,Good,369403,6500,240,54,21,13,34,150,31,18,7.4,4.9,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2016-2017,Good,543044.8341,56000,580,190,110,27,140,250,94,71,16,6.5,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2017-2018,Good,850000,35000,710,180,140,30,170,360,100,61,29,10,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2018-2019,Good,180000,1800,110,27,18,3.9,22,60,7.7,4,1.2,2,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2019-2020,Moderate,340000,2500,250,79,49,6.3,55,120,13,10,1.4,3.4,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2020-2021,Moderate,120000,320,55,12,2.2,0.48,2.7,40,3.7,2.8,0.075,1.8,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2021-2022,Good,2900000,440000,3500,1300,740,120,860,1400,690,490,160,52,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2022-2023,Good,1200000,130000,1400,570,260,26,290,570,260,180,70,27,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Ben Anderson Barrage Headwater,136014A,2023-2024,Moderate,340000,4800,260,66,22,17,38,160,28,18,6.3,4.2,136014A,136014A Burnett River at Ben Anderson Barrage Headwater
BM,Burnett River at Eidsvold,136106A,2009-2010,Excellent,162767,14765,311,93,48,13,61,166,48,30,15,8,136106A,136106A Burnett River at Eidsvold
BM,Burnett River at Eidsvold,136106A,2010-2011,Indicative,2042501,335665,2558,1201,152,82,234,1124,721,444,229,61,136106A,136106A Burnett River at Eidsvold
BM,Burnett River at Eidsvold,136106A,2011-2012,Good,186021,14070,177,80,14,6,20,78,32,21,6,5,136106A,136106A Burnett River at Eidsvold
BM,Burnett River at Jones Weir Tail Water,136094A,2006-2007,Indicative,4897,,,,,,,,,,,,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Jones Weir Tail Water,136094A,2007-2008,Good,8298,,,,,,,,,,,,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Jones Weir Tail Water,136094A,2008-2009,Good,53682,,,,,,,,,,,,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Jones Weir Tail Water,136094A,2009-2010,Excellent,762160,398154,1408,828,70,47,117,423,341,294,27,21,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Jones Weir Tail Water,136094A,2010-2011,Good,6286570,1604385,9672,5350,413,254,667,3630,2255,1862,278,174,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Jones Weir Tail Water,136094A,2011-2012,Good,341695,45816,324,119,30,23,53,152,65,49,8,8,136094A,136094A Burnett River at Jones Weir Tail Water
BM,Burnett River at Mount Lawless,136002D,2006-2007,Indicative,5478,,,,,,,,,,,,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2007-2008,Good,86640,,,,,,,,,,,,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2008-2009,Indicative,117937,,,,,,,,,,,,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2009-2010,Excellent,820135,547924,1479,1077,68,25,93,505,330,325,34,18,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2010-2011,Excellent,8399244,3385860,16965,11759,332,250,582,4669,4747,4145,394,250,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2011-2012,Indicative,457330,28327,407,123,55,14,70,212,75,44,21,11,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2015-2016,Excellent,328338,69000,450,270,23,9.3,32,150,110,86,16,4,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2016-2017,Excellent,463359.267,370000,1200,900,81,12,92,250,330,310,13,10,136002D,136002D Burnett River at Mount Lawless
BM,Burnett River at Mount Lawless,136002D,2017-2018,Excellent,760000,280000,1000,650,45,15,60,350,230,190,27,12,136002D,136002D Burnett River at Mount Lawless
