SUBCAT,Basin_35,Manag_Unit_48
SC #90650,Baffle,Baffle
SC #90653,Baffle,Baffle
SC #90651,Baffle,Baffle
SC #90652,Baffle,Baffle
SC #1,Baffle,Baffle
SC #2,Baffle,Baffle
SC #3,Baffle,Baffle
SC #29,Baffle,Baffle
SC #30,Baffle,Baffle
SC #90654,Baffle,Baffle
SC #32,Baffle,Baffle
SC #4,Baffle,Baffle
SC #13,Baffle,Baffle
SC #7,Baffle,Baffle
SC #90679,Baffle,Baffle
SC #28,Baffle,Baffle
SC #9,Baffle,Baffle
SC #31,Baffle,Baffle
SC #389,Burnett,Burnett
SC #27,Baffle,Baffle
SC #25,Baffle,Baffle
SC #390,Burnett,Burnett
SC #26,Baffle,Baffle
SC #8,Baffle,Baffle
SC #24,Baffle,Baffle
SC #624,Burnett,Burnett
SC #601,Baffle,Baffle
SC #19,Baffle,Baffle
SC #6,Baffle,Baffle
SC #90655,Baffle,Baffle
SC #5,Baffle,Baffle
SC #588,Burnett,Burnett
SC #387,Burnett,Burnett
SC #90656,Baffle,Baffle
SC #23,Baffle,Baffle
SC #21,Baffle,Baffle
SC #391,Burnett,Burnett
SC #18,Baffle,Baffle
SC #64,Kolan,Kolan
SC #20,Baffle,Baffle
SC #12,Baffle,Baffle
SC #14,Baffle,Baffle
SC #10,Baffle,Baffle
SC #22,Baffle,Baffle
SC #388,Burnett,Burnett
SC #366,Burnett,Burnett
SC #376,Burnett,Burnett
SC #11,Baffle,Baffle
SC #375,Burnett,Burnett
SC #90657,Baffle,Baffle
SC #63,Kolan,Kolan
SC #401,Burnett,Burnett
SC #365,Burnett,Burnett
SC #402,Burnett,Burnett
SC #33,Baffle,Baffle
SC #62,Kolan,Kolan
SC #586,Burnett,Burnett
SC #15,Baffle,Baffle
SC #377,Burnett,Burnett
SC #386,Burnett,Burnett
SC #17,Baffle,Baffle
SC #61,Kolan,Kolan
SC #400,Burnett,Burnett
SC #38,Baffle,Baffle
SC #58,Kolan,Kolan
SC #90658,Baffle,Baffle
SC #34,Baffle,Baffle
SC #56,Kolan,Kolan
SC #90659,Baffle,Baffle
SC #16,Baffle,Baffle
SC #364,Burnett,Burnett
SC #60,Kolan,Kolan
SC #403,Burnett,Burnett
SC #625,Burnett,Burnett
SC #372,Burnett,Burnett
SC #352,Burnett,Burnett
SC #36,Baffle,Baffle
SC #90673,Baffle,Baffle
SC #37,Baffle,Baffle
SC #374,Burnett,Burnett
SC #35,Baffle,Baffle
SC #407,Burnett,Burnett
SC #373,Burnett,Burnett
SC #59,Kolan,Kolan
SC #90661,Kolan,Kolan
SC #54,Kolan,Kolan
SC #57,Kolan,Kolan
SC #602,Kolan,Kolan
SC #66,Kolan,Kolan
SC #55,Kolan,Kolan
SC #369,Burnett,Burnett
SC #371,Burnett,Burnett
SC #392,Burnett,Burnett
SC #385,Burnett,Burnett
SC #90660,Kolan,Kolan
SC #39,Kolan,Kolan
SC #68,Kolan,Kolan
SC #399,Burnett,Burnett
SC #67,Kolan,Kolan
SC #590,Kolan,Kolan
SC #69,Kolan,Kolan
SC #408,Burnett,Burnett
SC #53,Kolan,Kolan
SC #367,Burnett,Burnett
SC #378,Burnett,Burnett
SC #384,Burnett,Burnett
SC #51,Kolan,Kolan
SC #368,Burnett,Burnett
SC #52,Kolan,Kolan
SC #90662,Burnett,Burnett
SC #370,Burnett,Burnett
SC #568,Kolan,Kolan
SC #393,Burnett,Burnett
SC #90674,Burnett,Burnett
SC #404,Burnett,Burnett
SC #626,Burnett,Burnett
SC #90675,Burnett,Burnett
SC #90663,Burrum,Burrum
SC #567,Kolan,Kolan
SC #383,Burnett,Burnett
SC #50,Kolan,Kolan
SC #353,Burnett,Burnett
SC #65,Kolan,Kolan
SC #70,Burnett,Burnett
SC #363,Burnett,Burnett
SC #430,Burnett,Burnett
SC #566,Kolan,Kolan
SC #362,Burnett,Burnett
SC #47,Kolan,Kolan
SC #409,Burnett,Burnett
SC #599,Kolan,Kolan
SC #49,Kolan,Kolan
SC #48,Kolan,Kolan
SC #574,Kolan,Kolan
SC #358,Burnett,Burnett
SC #394,Burnett,Burnett
SC #569,Kolan,Kolan
SC #354,Burnett,Burnett
SC #360,Burnett,Burnett
SC #406,Burnett,Burnett
SC #573,Kolan,Kolan
SC #398,Burnett,Burnett
SC #45,Kolan,Kolan
SC #575,Burnett,Burnett
SC #355,Burnett,Burnett
SC #680,Burnett,Burnett
SC #72,Burnett,Burnett
SC #356,Burnett,Burnett
SC #71,Burnett,Burnett
SC #73,Burnett,Burnett
SC #40,Kolan,Kolan
SC #43,Kolan,Kolan
SC #397,Burnett,Burnett
SC #361,Burnett,Burnett
SC #314,Burnett,Burnett
SC #41,Kolan,Kolan
SC #431,Burrum,Burrum
SC #351,Burnett,Burnett
SC #46,Kolan,Kolan
SC #589,Burnett,Burnett
SC #379,Burnett,Burnett
SC #75,Burnett,Burnett
SC #623,Burnett,Burnett
SC #42,Kolan,Kolan
SC #359,Burnett,Burnett
SC #429,Burnett,Burnett
SC #357,Burnett,Burnett
SC #313,Burnett,Burnett
SC #44,Kolan,Kolan
SC #587,Burnett,Burnett
SC #411,Burnett,Burnett
SC #629,Burrum,Burrum
SC #434,Burrum,Burrum
SC #576,Burnett,Burnett
SC #76,Burnett,Burnett
SC #396,Burnett,Burnett
SC #405,Burnett,Burnett
SC #570,Burnett,Burnett
SC #90664,Burrum,Burrum
SC #382,Burnett,Burnett
SC #572,Burnett,Burnett
SC #74,Burnett,Burnett
SC #428,Burnett,Burnett
SC #346,Burnett,Burnett
SC #432,Burrum,Burrum
SC #682,Burnett,Burnett
SC #317,Burnett,Burnett
SC #312,Burnett,Burnett
SC #613,Burnett,Burnett
SC #435,Burrum,Burrum
SC #395,Burnett,Burnett
SC #420,Burnett,Burnett
SC #427,Burnett,Burnett
SC #649,Burrum,Burrum
SC #433,Burrum,Burrum
SC #349,Burnett,Burnett
SC #350,Burnett,Burnett
SC #381,Burnett,Burnett
SC #310,Burnett,Burnett
SC #90665,Burrum,Burrum
SC #600,Burnett,Burnett
SC #622,Burnett,Burnett
SC #410,Burnett,Burnett
SC #577,Burnett,Burnett
SC #78,Burnett,Burnett
SC #426,Burnett,Burnett
SC #79,Burnett,Burnett
SC #77,Burnett,Burnett
SC #438,Burrum,Burrum
SC #347,Burnett,Burnett
SC #412,Burnett,Burnett
SC #345,Burnett,Burnett
SC #628,Burnett,Burnett
SC #630,Burrum,Burrum
SC #436,Burrum,Burrum
SC #437,Burrum,Burrum
SC #648,Burrum,Burrum
SC #380,Burnett,Burnett
SC #627,Burnett,Burnett
SC #424,Burnett,Burnett
SC #80,Burnett,Burnett
SC #603,Burnett,Burnett
SC #444,Burrum,Burrum
SC #348,Burnett,Burnett
SC #316,Burnett,Burnett
SC #439,Burrum,Burrum
SC #90676,Burrum,Burrum
SC #344,Burnett,Burnett
SC #422,Burnett,Burnett
SC #443,Burrum,Burrum
SC #81,Burnett,Burnett
SC #330,Burnett,Burnett
SC #423,Burnett,Burnett
SC #441,Burrum,Burrum
SC #419,Burnett,Burnett
SC #421,Burnett,Burnett
SC #442,Burrum,Burrum
SC #173,Burnett,Burnett
SC #342,Burnett,Burnett
SC #331,Burnett,Burnett
SC #90667,Burrum,Burrum
SC #413,Burnett,Burnett
SC #90666,Burrum,Burrum
SC #621,Burnett,Burnett
SC #341,Burnett,Burnett
SC #425,Burnett,Burnett
SC #172,Burnett,Burnett
SC #440,Burrum,Burrum
SC #451,Burrum,Burrum
SC #90668,Burrum,Burrum
SC #335,Burnett,Burnett
SC #96,Burnett,Burnett
SC #414,Burnett,Burnett
SC #339,Burnett,Burnett
SC #322,Burnett,Burnett
SC #445,Burrum,Burrum
SC #598,Burnett,Burnett
SC #418,Burnett,Burnett
SC #315,Burnett,Burnett
SC #323,Burnett,Burnett
SC #343,Burnett,Burnett
SC #90669,Burrum,Burrum
SC #462,Burrum,Burrum
SC #578,Burnett,Burnett
SC #631,Burrum,Burrum
SC #95,Burnett,Burnett
SC #308,Burnett,Burnett
SC #605,Burnett,Burnett
SC #452,Burrum,Burrum
SC #311,Burnett,Burnett
SC #84,Burnett,Burnett
SC #82,Burnett,Burnett
SC #449,Burrum,Burrum
SC #453,Burrum,Burrum
SC #309,Burnett,Burnett
SC #83,Burnett,Burnett
SC #97,Burnett,Burnett
SC #100,Burnett,Burnett
SC #336,Burnett,Burnett
SC #340,Burnett,Burnett
SC #329,Burnett,Burnett
SC #450,Burrum,Burrum
SC #98,Burnett,Burnett
SC #417,Burnett,Burnett
SC #415,Burnett,Burnett
SC #446,Burrum,Burrum
