SUBCAT,Basin_35,Manag_Unit_48
SC #554,Burdekin,Upper Burdekin
SC #553,Burdekin,Upper Burdekin
SC #550,Burdekin,Upper Burdekin
SC #551,Burdekin,Upper Burdekin
SC #552,Burdekin,Upper Burdekin
SC #543,Burdekin,Upper Burdekin
SC #544,Burdekin,Upper Burdekin
SC #548,Burdekin,Upper Burdekin
SC #539,Burdekin,Upper Burdekin
SC #549,Burdekin,Upper Burdekin
SC #538,Burdekin,Upper Burdekin
SC #555,Burdekin,Upper Burdekin
SC #580,Burdekin,Upper Burdekin
SC #547,Burdekin,Upper Burdekin
SC #601,Burdekin,Upper Burdekin
SC #600,Burdekin,Upper Burdekin
SC #561,Burdekin,Upper Burdekin
SC #562,Burdekin,Upper Burdekin
SC #579,Burdekin,Upper Burdekin
SC #558,Burdekin,Upper Burdekin
SC #569,Burdekin,Upper Burdekin
SC #581,Burdekin,Upper Burdekin
SC #537,Burdekin,Upper Burdekin
SC #563,Burdekin,Upper Burdekin
SC #542,Burdekin,Upper Burdekin
SC #1669,Burdekin,Upper Burdekin
SC #613,Burdekin,Upper Burdekin
SC #565,Burdekin,Upper Burdekin
SC #545,Burdekin,Upper Burdekin
SC #560,Burdekin,Upper Burdekin
SC #564,Burdekin,Upper Burdekin
SC #598,Burdekin,Upper Burdekin
SC #559,Burdekin,Upper Burdekin
SC #582,Burdekin,Upper Burdekin
SC #566,Burdekin,Upper Burdekin
SC #571,Burdekin,Upper Burdekin
SC #570,Burdekin,Upper Burdekin
SC #578,Burdekin,Upper Burdekin
SC #540,Burdekin,Upper Burdekin
SC #557,Burdekin,Upper Burdekin
SC #541,Burdekin,Upper Burdekin
SC #546,Burdekin,Upper Burdekin
SC #556,Burdekin,Upper Burdekin
SC #610,Burdekin,Upper Burdekin
SC #536,Burdekin,Upper Burdekin
SC #567,Burdekin,Upper Burdekin
SC #568,Burdekin,Upper Burdekin
SC #573,Burdekin,Upper Burdekin
SC #597,Burdekin,Upper Burdekin
SC #575,Burdekin,Upper Burdekin
SC #572,Burdekin,Upper Burdekin
SC #612,Burdekin,Upper Burdekin
SC #577,Burdekin,Upper Burdekin
SC #574,Burdekin,Upper Burdekin
SC #585,Burdekin,Upper Burdekin
SC #622,Burdekin,Upper Burdekin
SC #599,Burdekin,Upper Burdekin
SC #511,Burdekin,Upper Burdekin
SC #603,Burdekin,Upper Burdekin
SC #611,Burdekin,Upper Burdekin
SC #535,Burdekin,Upper Burdekin
