SUBCAT,Basin_35,Manag_Unit_48
SC #55,Jacky Jacky Creek,Jacky Jacky Creek
SC #3,Jacky Jacky Creek,Jacky Jacky Creek
SC #54,Jacky Jacky Creek,Jacky Jacky Creek
SC #56,Jacky Jacky Creek,Jacky Jacky Creek
SC #1,Jacky Jacky Creek,Jacky Jacky Creek
SC #2,Jacky Jacky Creek,Jacky Jacky Creek
SC #67,Jacky Jacky Creek,Jacky Jacky Creek
SC #76,Olive-Pascoe,Olive-Pascoe
SC #64,Jacky Jacky Creek,Jacky Jacky Creek
SC #84,Olive-Pascoe,Olive-Pascoe
SC #88,Olive-Pascoe,Olive-Pascoe
SC #72,Jacky Jacky Creek,Jacky Jacky Creek
SC #62,Jacky Jacky Creek,Jacky Jacky Creek
SC #92,Olive-Pascoe,Olive-Pascoe
SC #68,Jacky Jacky Creek,Jacky Jacky Creek
SC #61,Jacky Jacky Creek,Jacky Jacky Creek
SC #77,Olive-Pascoe,Olive-Pascoe
SC #63,Jacky Jacky Creek,Jacky Jacky Creek
SC #60,Jacky Jacky Creek,Jacky Jacky Creek
SC #94,Olive-Pascoe,Olive-Pascoe
SC #57,Jacky Jacky Creek,Jacky Jacky Creek
SC #4,Jacky Jacky Creek,Jacky Jacky Creek
SC #80,Olive-Pascoe,Olive-Pascoe
SC #69,Jacky Jacky Creek,Jacky Jacky Creek
SC #58,Jacky Jacky Creek,Jacky Jacky Creek
SC #65,Jacky Jacky Creek,Jacky Jacky Creek
SC #79,Olive-Pascoe,Olive-Pascoe
SC #75,Jacky Jacky Creek,Jacky Jacky Creek
SC #59,Jacky Jacky Creek,Jacky Jacky Creek
SC #8,Jacky Jacky Creek,Jacky Jacky Creek
SC #91,Olive-Pascoe,Olive-Pascoe
SC #5,Jacky Jacky Creek,Jacky Jacky Creek
SC #7,Jacky Jacky Creek,Jacky Jacky Creek
SC #71,Jacky Jacky Creek,Jacky Jacky Creek
SC #73,Jacky Jacky Creek,Jacky Jacky Creek
SC #95,Olive-Pascoe,Olive-Pascoe
SC #66,Jacky Jacky Creek,Jacky Jacky Creek
SC #112,Olive-Pascoe,Olive-Pascoe
SC #93,Olive-Pascoe,Olive-Pascoe
SC #90,Olive-Pascoe,Olive-Pascoe
SC #97,Olive-Pascoe,Olive-Pascoe
SC #85,Olive-Pascoe,Olive-Pascoe
SC #6,Jacky Jacky Creek,Jacky Jacky Creek
SC #81,Olive-Pascoe,Olive-Pascoe
SC #122,Olive-Pascoe,Olive-Pascoe
SC #89,Olive-Pascoe,Olive-Pascoe
SC #109,Olive-Pascoe,Olive-Pascoe
SC #86,Olive-Pascoe,Olive-Pascoe
SC #78,Olive-Pascoe,Olive-Pascoe
SC #70,Jacky Jacky Creek,Jacky Jacky Creek
SC #123,Olive-Pascoe,Olive-Pascoe
SC #74,Olive-Pascoe,Olive-Pascoe
SC #114,Olive-Pascoe,Olive-Pascoe
SC #119,Olive-Pascoe,Olive-Pascoe
SC #105,Olive-Pascoe,Olive-Pascoe
SC #87,Olive-Pascoe,Olive-Pascoe
SC #111,Olive-Pascoe,Olive-Pascoe
SC #113,Olive-Pascoe,Olive-Pascoe
SC #9,Jacky Jacky Creek,Jacky Jacky Creek
SC #125,Olive-Pascoe,Olive-Pascoe
SC #10,Olive-Pascoe,Olive-Pascoe
SC #121,Olive-Pascoe,Olive-Pascoe
SC #152,Stewart River,Stewart River
SC #110,Olive-Pascoe,Olive-Pascoe
SC #116,Olive-Pascoe,Olive-Pascoe
SC #324,Normanby River,Normanby River
SC #99,Olive-Pascoe,Olive-Pascoe
