SUBCAT,Basin_35,Manag_Unit_48
SC #3,Prossie,Prossie
SC #2,Prossie,Prossie
SC #37,Prossie,Prossie
SC #38,Prossie,Prossie
SC #54,OConnel,OConnel
SC #10,Prossie,Prossie
SC #5,Prossie,Prossie
SC #1,Prossie,Prossie
SC #6,Prossie,Prossie
SC #53,OConnel,OConnel
SC #90165,Prossie,Prossie
SC #146,Prossie,Prossie
SC #15,Prossie,Prossie
SC #14,Prossie,Prossie
SC #35,Prossie,Prossie
SC #23,Prossie,Prossie
SC #145,Prossie,Prossie
SC #12,Prossie,Prossie
SC #36,Prossie,Prossie
SC #22,Prossie,Prossie
SC #90166,Prossie,Prossie
SC #13,Prossie,Prossie
SC #51,OConnel,OConnel
SC #92,Pioneer,Pioneer
SC #49,OConnel,OConnel
SC #52,OConnel,OConnel
SC #87,Pioneer,Pioneer
SC #147,OConnel,OConnel
SC #83,Pioneer,Pioneer
SC #27,Prossie,Prossie
SC #9,Prossie,Prossie
SC #8,Prossie,Prossie
SC #93,Pioneer,Pioneer
SC #11,Prossie,Prossie
SC #86,Pioneer,Pioneer
SC #90167,Prossie,Prossie
SC #91,Pioneer,Pioneer
SC #150,Pioneer,Pioneer
SC #84,Pioneer,Pioneer
SC #20,Prossie,Prossie
SC #34,Prossie,Prossie
SC #41,Prossie,Prossie
SC #48,OConnel,OConnel
SC #148,OConnel,OConnel
SC #90168,Prossie,Prossie
SC #28,Prossie,Prossie
SC #7,Prossie,Prossie
SC #21,Prossie,Prossie
SC #33,Prossie,Prossie
SC #25,Prossie,Prossie
SC #90169,Prossie,Prossie
SC #50,OConnel,OConnel
SC #46,OConnel,OConnel
SC #4,Prossie,Prossie
SC #47,OConnel,OConnel
SC #94,Pioneer,Pioneer
SC #149,Pioneer,Pioneer
SC #24,Prossie,Prossie
SC #85,Pioneer,Pioneer
SC #82,Pioneer,Pioneer
SC #90,Pioneer,Pioneer
SC #45,OConnel,OConnel
SC #44,OConnel,OConnel
SC #155,OConnel,OConnel
SC #42,OConnel,OConnel
SC #151,Pioneer,Pioneer
SC #31,Prossie,Prossie
SC #152,Pioneer,Pioneer
SC #90170,Prossie,Prossie
SC #60,OConnel,OConnel
SC #144,Prossie,Prossie
SC #58,OConnel,OConnel
SC #89,Pioneer,Pioneer
SC #26,Prossie,Prossie
SC #43,OConnel,OConnel
SC #55,OConnel,OConnel
SC #69,OConnel,OConnel
SC #32,Prossie,Prossie
SC #90178,OConnel,OConnel
SC #30,Prossie,Prossie
SC #39,Prossie,Prossie
SC #88,Pioneer,Pioneer
SC #29,Prossie,Prossie
SC #18,Prossie,Prossie
SC #56,OConnel,OConnel
SC #90177,Prossie,Prossie
SC #90176,Prossie,Prossie
SC #19,Prossie,Prossie
SC #61,OConnel,OConnel
SC #95,Pioneer,Pioneer
SC #59,OConnel,OConnel
SC #90171,Prossie,Prossie
SC #77,Pioneer,Pioneer
SC #17,Prossie,Prossie
SC #80,Pioneer,Pioneer
SC #16,Prossie,Prossie
SC #90179,OConnel,OConnel
SC #68,OConnel,OConnel
SC #57,OConnel,OConnel
SC #81,Pioneer,Pioneer
SC #90180,OConnel,OConnel
SC #90172,Prossie,Prossie
SC #62,OConnel,OConnel
SC #90175,Prossie,Prossie
SC #40,Prossie,Prossie
SC #90198,OConnel,OConnel
SC #157,PlaneC,PlaneC
SC #78,Pioneer,Pioneer
SC #90181,OConnel,OConnel
SC #112,PlaneC,PlaneC
SC #165,Pioneer,Pioneer
SC #76,Pioneer,Pioneer
SC #110,PlaneC,PlaneC
SC #79,Pioneer,Pioneer
SC #90199,OConnel,OConnel
SC #67,OConnel,OConnel
SC #64,OConnel,OConnel
SC #108,PlaneC,PlaneC
SC #111,PlaneC,PlaneC
SC #63,OConnel,OConnel
SC #153,Pioneer,Pioneer
SC #90182,OConnel,OConnel
SC #90173,Prossie,Prossie
SC #66,OConnel,OConnel
SC #65,OConnel,OConnel
SC #70,OConnel,OConnel
SC #90174,Prossie,Prossie
SC #113,PlaneC,PlaneC
SC #109,PlaneC,PlaneC
SC #107,PlaneC,PlaneC
SC #162,Pioneer,Pioneer
SC #114,PlaneC,PlaneC
SC #156,PlaneC,PlaneC
SC #106,PlaneC,PlaneC
SC #103,PlaneC,PlaneC
SC #105,PlaneC,PlaneC
SC #154,Pioneer,Pioneer
SC #161,PlaneC,PlaneC
SC #96,Pioneer,Pioneer
SC #104,PlaneC,PlaneC
SC #98,PlaneC,PlaneC
SC #100,PlaneC,PlaneC
SC #115,PlaneC,PlaneC
SC #120,PlaneC,PlaneC
SC #90183,OConnel,OConnel
SC #71,OConnel,OConnel
SC #158,PlaneC,PlaneC
SC #160,PlaneC,PlaneC
SC #75,Pioneer,Pioneer
SC #102,PlaneC,PlaneC
SC #90200,PlaneC,PlaneC
SC #119,PlaneC,PlaneC
SC #163,Pioneer,Pioneer
SC #164,Pioneer,Pioneer
SC #74,Pioneer,Pioneer
SC #97,PlaneC,PlaneC
SC #101,PlaneC,PlaneC
SC #127,PlaneC,PlaneC
SC #90187,Pioneer,Pioneer
SC #99,PlaneC,PlaneC
SC #73,Pioneer,Pioneer
SC #118,PlaneC,PlaneC
SC #133,PlaneC,PlaneC
SC #90188,PlaneC,PlaneC
SC #135,PlaneC,PlaneC
SC #90184,Pioneer,Pioneer
SC #126,PlaneC,PlaneC
SC #132,PlaneC,PlaneC
SC #125,PlaneC,PlaneC
SC #116,PlaneC,PlaneC
SC #72,Pioneer,Pioneer
SC #117,PlaneC,PlaneC
SC #123,PlaneC,PlaneC
SC #90190,PlaneC,PlaneC
SC #90189,PlaneC,PlaneC
SC #159,PlaneC,PlaneC
SC #122,PlaneC,PlaneC
SC #90186,Pioneer,Pioneer
SC #138,PlaneC,PlaneC
SC #134,PlaneC,PlaneC
SC #137,PlaneC,PlaneC
SC #141,PlaneC,PlaneC
SC #90185,Pioneer,Pioneer
SC #121,PlaneC,PlaneC
SC #124,PlaneC,PlaneC
SC #90201,PlaneC,PlaneC
SC #140,PlaneC,PlaneC
SC #131,PlaneC,PlaneC
SC #129,PlaneC,PlaneC
SC #128,PlaneC,PlaneC
SC #90191,PlaneC,PlaneC
SC #130,PlaneC,PlaneC
SC #143,PlaneC,PlaneC
SC #90202,PlaneC,PlaneC
SC #142,PlaneC,PlaneC
SC #90193,PlaneC,PlaneC
SC #90192,PlaneC,PlaneC
SC #90196,PlaneC,PlaneC
SC #90194,PlaneC,PlaneC
SC #136,PlaneC,PlaneC
SC #90195,PlaneC,PlaneC
SC #90197,PlaneC,PlaneC
SC #139,PlaneC,PlaneC
