ModelElement,Basin_35,Manag_Unit_48
Node on catchment SC #476,Tully,Tully
TR02,Tully,Tully
MU02,Murray,Murray
Node on catchment SC #435,Barron,Barron
Node on catchment SC #314,Herbert,Upper Herbert
MU01,Murray,Murray
Node on catchment SC #421,Tully,Tully
Outlet Node3,Daintree,Daintree
Node on catchment SC #30,Daintree,Daintree
Node on catchment SC #19,Daintree,Daintree
Node on catchment SC #414,Barron,Barron
MO01,Mossman,Mossman
Node on catchment SC #412,Barron,Barron
Node on catchment SC #396,Barron,Barron
HE03,Herbert,Upper Herbert
Node on catchment SC #248,Herbert,Upper Herbert
Node on catchment SC #43,Mossman,Mossman
Outlet Node33,Herbert,Lower Herbert
Node on catchment SC #124,Johnstone,Johnstone
Node on catchment SC #381,Herbert,Lower Herbert
Node on catchment SC #382,Herbert,Lower Herbert
Node on catchment SC #379,Herbert,Lower Herbert
LI03,Johnstone,Johnstone
Node on catchment SC #158,Johnstone,Johnstone
Node on catchment SC #148,Johnstone,Johnstone
Node on catchment SC #144,Johnstone,Johnstone
Node on catchment SC #139,Johnstone,Johnstone
Node on catchment SC #138,Johnstone,Johnstone
Node on catchment SC #390,Johnstone,Johnstone
Outlet Node17,Johnstone,Johnstone
LI02,Johnstone,Johnstone
Node on catchment SC #155,Johnstone,Johnstone
Outlet Node50,Johnstone,Johnstone
Outlet Node54,Murray,Murray
Outlet Node53,Tully,Tully
Outlet Node39,Mossman,Mossman
Outlet Node59,Herbert,Lower Herbert
Outlet Node41,Barron,Barron
Node on catchment SC #319,Herbert,Upper Herbert
Outlet Node63,Mulgrave-Russell,Mulgrave-Russell
Outlet Node49,Johnstone,Johnstone
116017A,Herbert,Lower Herbert
Outlet Node23,Murray,Murray
MU03,Murray,Murray
Node on catchment SC #482,Murray,Murray
Koombaloomba,Tully,Tully
Node on catchment SC #265,Herbert,Upper Herbert
Node on catchment SC #188,Murray,Murray
Node on catchment SC #187,Murray,Murray
Node on catchment SC #453,Herbert,Upper Herbert
Node on catchment SC #195,Murray,Murray
Node on catchment SC #351,Herbert,Upper Herbert
Node on catchment SC #452,Herbert,Upper Herbert
Node on catchment SC #258,Herbert,Upper Herbert
Node on catchment SC #253,Herbert,Upper Herbert
Outlet Node13,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #410,Barron,Barron
Node on catchment SC #440,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #15,Daintree,Daintree
Node on catchment SC #287,Herbert,Upper Herbert
Node on catchment SC #423,Daintree,Daintree
Node on catchment SC #25,Daintree,Daintree
JR02,Johnstone,Johnstone
Outlet Node8,Barron,Barron
Node on catchment SC #74,Barron,Barron
Node on catchment SC #65,Barron,Barron
Node on catchment SC #280,Herbert,Upper Herbert
Node on catchment SC #279,Herbert,Upper Herbert
Node on catchment SC #286,Herbert,Upper Herbert
Node on catchment SC #285,Herbert,Upper Herbert
Node on catchment SC #451,Herbert,Upper Herbert
Node on catchment SC #446,Herbert,Lower Herbert
Outlet Node15,Mulgrave-Russell,Mulgrave-Russell
1120054,Johnstone,Johnstone
Node on catchment SC #52,Barron,Barron
Node on catchment SC #68,Barron,Barron
BRCNS_TWS,Barron,Barron
Node on catchment SC #110,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #111,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #132,Johnstone,Johnstone
Node on catchment SC #133,Johnstone,Johnstone
Node on catchment SC #149,Johnstone,Johnstone
Node on catchment SC #416,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #50,Barron,Barron
Node on catchment SC #126,Johnstone,Johnstone
Node on catchment SC #120,Johnstone,Johnstone
Outlet Node34,Daintree,Daintree
Outlet Node35,Daintree,Daintree
Node on catchment SC #485,Murray,Murray
LI01,Johnstone,Johnstone
MO02,Mossman,Mossman
Node on catchment SC #480,Murray,Murray
Node on catchment SC #191,Murray,Murray
Node on catchment SC #169,Tully,Tully
Node on catchment SC #189,Murray,Murray
Node on catchment SC #249,Herbert,Upper Herbert
Node on catchment SC #250,Herbert,Upper Herbert
Node on catchment SC #256,Herbert,Upper Herbert
Node on catchment SC #254,Herbert,Upper Herbert
Node on catchment SC #417,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #415,Barron,Barron
Node on catchment SC #471,Herbert,Upper Herbert
Node on catchment SC #306,Herbert,Upper Herbert
Node on catchment SC #37,Daintree,Daintree
Node on catchment SC #57,Barron,Barron
Node on catchment SC #315,Herbert,Upper Herbert
110022A,Barron,Barron
Outlet Node9,Mulgrave-Russell,Mulgrave-Russell
110021A,Barron,Barron
Outlet Node4,Daintree,Daintree
Node on catchment SC #21,Daintree,Daintree
Node on catchment SC #71,Barron,Barron
Outlet Node14,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #411,Barron,Barron
Node on catchment SC #372,Herbert,Lower Herbert
Node on catchment SC #302,Herbert,Upper Herbert
Node on catchment SC #296,Herbert,Upper Herbert
